Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia  ( 28 , 201 ) = 1
115.muchia  ( 22 , 370 ) = 14
116.muchia  ( 85 , 307 ) = 14
117.muchia  ( 138 , 306 ) = 14
118.muchia  ( 172 , 362 ) = 14
119.muchia  ( 229 , 287 ) = 14
120.muchia  ( 233 , 309 ) = 14
121.muchia  ( 48 , 159 ) = 15
122.muchia  ( 91 , 297 ) = 15
123.muchia  ( 178 , 265 ) = 15
124.muchia  ( 204 , 223 ) = 15
125.muchia  ( 251 , 260 ) = 15
126.muchia  ( 278 , 321 ) = 15
127.muchia  ( 315 , 332 ) = 15
128.muchia  ( 1 , 385 ) = 16
129.muchia  ( 61 , 357 ) = 16
130.muchia  ( 82 , 376 ) = 16
131.muchia  ( 98 , 292 ) = 16
132.muchia  ( 141 , 234 ) = 16
133.muchia  ( 225 , 375 ) = 16
134.muchia  ( 249 , 255 ) = 16
135.muchia  ( 278 , 315 ) = 16
136.muchia  ( 2 , 178 ) = 17
137.muchia  ( 21 , 231 ) = 17
138.muchia  ( 22 , 279 ) = 17
139.muchia  ( 25 , 308 ) = 17
140.muchia  ( 58 , 183 ) = 17
141.muchia  ( 84 , 239 ) = 17
142.muchia  ( 115 , 397 ) = 17
143.muchia  ( 180 , 266 ) = 17
144.muchia  ( 291 , 345 ) = 17
145.muchia  ( 376 , 391 ) = 17
146.muchia  ( 80 , 164 ) = 18
147.muchia  ( 88 , 236 ) = 18
148.muchia  ( 88 , 333 ) = 18
149.muchia  ( 89 , 374 ) = 18
150.muchia  ( 96 , 294 ) = 18
151.muchia  ( 115 , 158 ) = 18
152.muchia  ( 226 , 387 ) = 18
153.muchia  ( 270 , 380 ) = 18
154.muchia  ( 109 , 309 ) = 19
155.muchia  ( 169 , 173 ) = 19
156.muchia  ( 253 , 255 ) = 19
157.muchia  ( 41 , 383 ) = 20
158.muchia  ( 45 , 231 ) = 20
159.muchia  ( 73 , 118 ) = 20
160.muchia  ( 77 , 88 ) = 20
161.muchia  ( 103 , 398 ) = 20
162.muchia  ( 210 , 340 ) = 20
163.muchia  ( 282 , 385 ) = 20
164.muchia  ( 349 , 367 ) = 20
165.muchia  ( 1 , 42 ) = 21
166.muchia  ( 3 , 250 ) = 21
167.muchia  ( 54 , 276 ) = 21
168.muchia  ( 57 , 278 ) = 21
169.muchia  ( 66 , 358 ) = 21
170.muchia  ( 71 , 229 ) = 21
171.muchia  ( 87 , 189 ) = 21
172.muchia  ( 91 , 333 ) = 21
173.muchia  ( 108 , 296 ) = 21
174.muchia  ( 187 , 197 ) = 21
175.muchia  ( 244 , 278 ) = 21
176.muchia  ( 255 , 369 ) = 21
177.muchia  ( 79 , 129 ) = 22
178.muchia  ( 99 , 193 ) = 22
179.muchia  ( 153 , 279 ) = 22
180.muchia  ( 198 , 302 ) = 22
181.muchia  ( 262 , 303 ) = 22
182.muchia  ( 303 , 374 ) = 22
183.muchia  ( 9 , 95 ) = 23
184.muchia  ( 30 , 126 ) = 23
185.muchia  ( 44 , 125 ) = 23
186.muchia  ( 21 , 235 ) = 24
187.muchia  ( 28 , 345 ) = 24
188.muchia  ( 43 , 62 ) = 24
189.muchia  ( 74 , 169 ) = 24
190.muchia  ( 75 , 291 ) = 24
191.muchia  ( 78 , 235 ) = 24
192.muchia  ( 108 , 332 ) = 24
193.muchia  ( 144 , 171 ) = 24
194.muchia  ( 175 , 350 ) = 24
195.muchia  ( 224 , 350 ) = 24
196.muchia  ( 224 , 356 ) = 24
197.muchia  ( 265 , 338 ) = 24
198.muchia  ( 277 , 344 ) = 24
199.muchia  ( 292 , 369 ) = 24
200.muchia  ( 1 , 292 ) = 25
201.muchia  ( 24 , 256 ) = 25
202.muchia  ( 27 , 75 ) = 25
203.muchia  ( 52 , 176 ) = 25
204.muchia  ( 141 , 260 ) = 25
205.muchia  ( 142 , 271 ) = 25
206.muchia  ( 20 , 67 ) = 26
207.muchia  ( 50 , 118 ) = 26
208.muchia  ( 68 , 71 ) = 26
209.muchia  ( 117 , 148 ) = 26
210.muchia  ( 359 , 366 ) = 26
211.muchia  ( 28 , 168 ) = 27
212.muchia  ( 48 , 378 ) = 27
213.muchia  ( 184 , 229 ) = 27
214.muchia  ( 203 , 339 ) = 27
215.muchia  ( 211 , 310 ) = 27
216.muchia  ( 266 , 323 ) = 27
217.muchia  ( 316 , 337 ) = 27
218.muchia  ( 59 , 321 ) = 28
219.muchia  ( 83 , 180 ) = 28
220.muchia  ( 83 , 243 ) = 28
221.muchia  ( 91 , 335 ) = 28
222.muchia  ( 159 , 179 ) = 28
223.muchia  ( 205 , 350 ) = 28
224.muchia  ( 236 , 381 ) = 28
225.muchia  ( 297 , 361 ) = 28
226.muchia  ( 13 , 31 ) = 29
227.muchia  ( 45 , 246 ) = 29
228.muchia  ( 48 , 116 ) = 29
229.muchia  ( 57 , 329 ) = 29
230.muchia  ( 71 , 344 ) = 29
231.muchia  ( 210 , 275 ) = 29
232.muchia  ( 248 , 358 ) = 29
233.muchia  ( 4 , 389 ) = 30
234.muchia  ( 13 , 30 ) = 30
235.muchia  ( 14 , 39 ) = 30
236.muchia  ( 44 , 86 ) = 30
237.muchia  ( 108 , 217 ) = 30
238.muchia  ( 198 , 294 ) = 30
239.muchia  ( 235 , 336 ) = 30
240.muchia  ( 110 , 399 ) = 31
241.muchia  ( 113 , 322 ) = 31
242.muchia  ( 208 , 276 ) = 31
243.muchia  ( 55 , 203 ) = 32
244.muchia  ( 64 , 356 ) = 32
245.muchia  ( 88 , 271 ) = 32
246.muchia  ( 130 , 352 ) = 32
247.muchia  ( 202 , 215 ) = 32
248.muchia  ( 267 , 356 ) = 32
249.muchia  ( 7 , 373 ) = 33
250.muchia  ( 50 , 326 ) = 33
251.muchia  ( 50 , 333 ) = 33
252.muchia  ( 82 , 399 ) = 33
253.muchia  ( 155 , 333 ) = 33
254.muchia  ( 2 , 293 ) = 34
255.muchia  ( 41 , 322 ) = 34
256.muchia  ( 44 , 304 ) = 34
257.muchia  ( 139 , 338 ) = 34
258.muchia  ( 190 , 334 ) = 34
259.muchia  ( 230 , 238 ) = 34
260.muchia  ( 9 , 268 ) = 35
261.muchia  ( 68 , 284 ) = 35
262.muchia  ( 77 , 239 ) = 35
263.muchia  ( 107 , 331 ) = 35
264.muchia  ( 163 , 352 ) = 35
265.muchia  ( 172 , 312 ) = 35
266.muchia  ( 207 , 354 ) = 35
267.muchia  ( 195 , 376 ) = 36
268.muchia  ( 213 , 233 ) = 36
269.muchia  ( 275 , 322 ) = 36
270.muchia  ( 38 , 85 ) = 37
271.muchia  ( 254 , 377 ) = 37
272.muchia  ( 383 , 386 ) = 37
273.muchia  ( 17 , 283 ) = 38
274.muchia  ( 33 , 252 ) = 39
275.muchia  ( 42 , 254 ) = 39
276.muchia  ( 81 , 341 ) = 39
277.muchia  ( 92 , 228 ) = 39
278.muchia  ( 107 , 298 ) = 39
279.muchia  ( 182 , 391 ) = 39
280.muchia  ( 15 , 248 ) = 40
281.muchia  ( 53 , 301 ) = 40
282.muchia  ( 125 , 140 ) = 40
283.muchia  ( 232 , 290 ) = 40
284.muchia  ( 267 , 324 ) = 40
285.muchia  ( 288 , 346 ) = 40
286.muchia  ( 349 , 357 ) = 40
287.muchia  ( 8 , 276 ) = 41
288.muchia  ( 37 , 342 ) = 41
289.muchia  ( 66 , 300 ) = 41
290.muchia  ( 80 , 97 ) = 41
291.muchia  ( 103 , 357 ) = 41
292.muchia  ( 105 , 218 ) = 41
293.muchia  ( 134 , 234 ) = 41
294.muchia  ( 135 , 379 ) = 41
295.muchia  ( 190 , 259 ) = 41
296.muchia  ( 192 , 279 ) = 41
297.muchia  ( 94 , 154 ) = 42
298.muchia  ( 305 , 315 ) = 42
299.muchia  ( 3 , 154 ) = 43
300.muchia  ( 40 , 140 ) = 43
301.muchia  ( 101 , 225 ) = 43
302.muchia  ( 124 , 159 ) = 43
303.muchia  ( 148 , 396 ) = 43
304.muchia  ( 150 , 249 ) = 43
305.muchia  ( 18 , 283 ) = 44
306.muchia  ( 23 , 157 ) = 44
307.muchia  ( 70 , 228 ) = 44
308.muchia  ( 12 , 36 ) = 45
309.muchia  ( 15 , 34 ) = 45
310.muchia  ( 24 , 353 ) = 45
311.muchia  ( 27 , 186 ) = 45
312.muchia  ( 132 , 164 ) = 45
313.muchia  ( 144 , 347 ) = 45
314.muchia  ( 148 , 364 ) = 45
315.muchia  ( 190 , 375 ) = 45
316.muchia  ( 293 , 295 ) = 45
317.muchia  ( 2 , 152 ) = 46
318.muchia  ( 8 , 392 ) = 46
319.muchia  ( 19 , 367 ) = 46
320.muchia  ( 299 , 395 ) = 46
321.muchia  ( 133 , 354 ) = 47
322.muchia  ( 176 , 295 ) = 47
323.muchia  ( 11 , 247 ) = 48
324.muchia  ( 13 , 258 ) = 48
325.muchia  ( 34 , 264 ) = 48
326.muchia  ( 51 , 317 ) = 48
327.muchia  ( 58 , 365 ) = 48
328.muchia  ( 114 , 172 ) = 48
329.muchia  ( 242 , 260 ) = 48
330.muchia  ( 318 , 358 ) = 48
331.muchia  ( 120 , 191 ) = 49
332.muchia  ( 142 , 285 ) = 49
333.muchia  ( 43 , 278 ) = 50
334.muchia  ( 105 , 275 ) = 50
335.muchia  ( 147 , 168 ) = 50
336.muchia  ( 160 , 395 ) = 50
337.muchia  ( 69 , 104 ) = 51
338.muchia  ( 127 , 263 ) = 51
339.muchia  ( 144 , 319 ) = 51
340.muchia  ( 64 , 319 ) = 52
341.muchia  ( 289 , 375 ) = 52
342.muchia  ( 22 , 49 ) = 53
343.muchia  ( 36 , 317 ) = 53
344.muchia  ( 332 , 360 ) = 53
345.muchia  ( 76 , 387 ) = 54
346.muchia  ( 85 , 170 ) = 54
347.muchia  ( 100 , 111 ) = 54
348.muchia  ( 27 , 145 ) = 55
349.muchia  ( 121 , 132 ) = 55
350.muchia  ( 34 , 151 ) = 56
351.muchia  ( 97 , 162 ) = 56
352.muchia  ( 290 , 296 ) = 57
353.muchia  ( 328 , 381 ) = 57
354.muchia  ( 247 , 351 ) = 58
355.muchia  ( 31 , 166 ) = 59
356.muchia  ( 63 , 355 ) = 59
357.muchia  ( 73 , 222 ) = 59
358.muchia  ( 194 , 322 ) = 59
359.muchia  ( 261 , 380 ) = 59
360.muchia  ( 367 , 371 ) = 59
361.muchia  ( 123 , 131 ) = 60
362.muchia  ( 72 , 271 ) = 61
363.muchia  ( 188 , 327 ) = 62
364.muchia  ( 122 , 254 ) = 63
365.muchia  ( 203 , 281 ) = 63
366.muchia  ( 212 , 319 ) = 63
367.muchia  ( 5 , 186 ) = 64
368.muchia  ( 216 , 322 ) = 64
369.muchia  ( 220 , 351 ) = 65
370.muchia  ( 214 , 376 ) = 66
371.muchia  ( 229 , 397 ) = 68
372.muchia  ( 127 , 137 ) = 70
373.muchia  ( 132 , 191 ) = 70
374.muchia  ( 253 , 363 ) = 72
375.muchia  ( 27 , 161 ) = 73
376.muchia  ( 146 , 356 ) = 74
377.muchia  ( 60 , 75 ) = 76
378.muchia  ( 110 , 314 ) = 80
379.muchia  ( 32 , 323 ) = 84
380.muchia  ( 46 , 72 ) = 84
381.muchia  ( 237 , 283 ) = 86
382.muchia  ( 20 , 289 ) = 89
383.muchia  ( 104 , 200 ) = 89
384.muchia  ( 167 , 195 ) = 90
385.muchia  ( 117 , 274 ) = 93
386.muchia  ( 185 , 295 ) = 93
387.muchia  ( 220 , 330 ) = 94
388.muchia  ( 35 , 68 ) = 96
389.muchia  ( 245 , 334 ) = 101
390.muchia  ( 47 , 230 ) = 102
391.muchia  ( 39 , 368 ) = 103
392.muchia  ( 93 , 119 ) = 103
393.muchia  ( 156 , 269 ) = 104
394.muchia  ( 146 , 177 ) = 110
395.muchia  ( 143 , 313 ) = 123
396.muchia  ( 221 , 396 ) = 125
397.muchia  ( 372 , 385 ) = 142
398.muchia  ( 10 , 346 ) = 189
399.muchia  ( 137 , 286 ) = 236
Prin urmare costul arborelui minim de acoperire gasit este: 12388
Timpul de executie: 101.21778964996338
