Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia  ( 17 , 160 ) = 1
245.muchia  ( 430 , 483 ) = 10
246.muchia  ( 553 , 644 ) = 10
247.muchia  ( 554 , 650 ) = 10
248.muchia  ( 569 , 582 ) = 10
249.muchia  ( 9 , 336 ) = 11
250.muchia  ( 14 , 571 ) = 11
251.muchia  ( 18 , 481 ) = 11
252.muchia  ( 24 , 168 ) = 11
253.muchia  ( 34 , 471 ) = 11
254.muchia  ( 50 , 116 ) = 11
255.muchia  ( 62 , 565 ) = 11
256.muchia  ( 63 , 426 ) = 11
257.muchia  ( 97 , 133 ) = 11
258.muchia  ( 97 , 466 ) = 11
259.muchia  ( 99 , 476 ) = 11
260.muchia  ( 125 , 540 ) = 11
261.muchia  ( 177 , 238 ) = 11
262.muchia  ( 193 , 385 ) = 11
263.muchia  ( 221 , 362 ) = 11
264.muchia  ( 224 , 519 ) = 11
265.muchia  ( 244 , 444 ) = 11
266.muchia  ( 279 , 689 ) = 11
267.muchia  ( 320 , 502 ) = 11
268.muchia  ( 329 , 560 ) = 11
269.muchia  ( 362 , 405 ) = 11
270.muchia  ( 373 , 589 ) = 11
271.muchia  ( 423 , 457 ) = 11
272.muchia  ( 475 , 578 ) = 11
273.muchia  ( 488 , 561 ) = 11
274.muchia  ( 494 , 609 ) = 11
275.muchia  ( 523 , 689 ) = 11
276.muchia  ( 558 , 580 ) = 11
277.muchia  ( 587 , 624 ) = 11
278.muchia  ( 656 , 669 ) = 11
279.muchia  ( 5 , 602 ) = 12
280.muchia  ( 25 , 196 ) = 12
281.muchia  ( 44 , 329 ) = 12
282.muchia  ( 84 , 248 ) = 12
283.muchia  ( 88 , 459 ) = 12
284.muchia  ( 97 , 200 ) = 12
285.muchia  ( 109 , 390 ) = 12
286.muchia  ( 115 , 446 ) = 12
287.muchia  ( 149 , 168 ) = 12
288.muchia  ( 160 , 396 ) = 12
289.muchia  ( 180 , 549 ) = 12
290.muchia  ( 189 , 573 ) = 12
291.muchia  ( 194 , 379 ) = 12
292.muchia  ( 272 , 501 ) = 12
293.muchia  ( 287 , 319 ) = 12
294.muchia  ( 294 , 333 ) = 12
295.muchia  ( 400 , 453 ) = 12
296.muchia  ( 448 , 580 ) = 12
297.muchia  ( 490 , 584 ) = 12
298.muchia  ( 508 , 650 ) = 12
299.muchia  ( 15 , 695 ) = 13
300.muchia  ( 106 , 160 ) = 13
301.muchia  ( 135 , 288 ) = 13
302.muchia  ( 148 , 363 ) = 13
303.muchia  ( 149 , 426 ) = 13
304.muchia  ( 149 , 624 ) = 13
305.muchia  ( 167 , 185 ) = 13
306.muchia  ( 190 , 360 ) = 13
307.muchia  ( 206 , 328 ) = 13
308.muchia  ( 206 , 362 ) = 13
309.muchia  ( 221 , 531 ) = 13
310.muchia  ( 249 , 442 ) = 13
311.muchia  ( 287 , 686 ) = 13
312.muchia  ( 297 , 657 ) = 13
313.muchia  ( 338 , 420 ) = 13
314.muchia  ( 373 , 575 ) = 13
315.muchia  ( 375 , 534 ) = 13
316.muchia  ( 375 , 675 ) = 13
317.muchia  ( 388 , 698 ) = 13
318.muchia  ( 392 , 464 ) = 13
319.muchia  ( 401 , 451 ) = 13
320.muchia  ( 422 , 665 ) = 13
321.muchia  ( 438 , 581 ) = 13
322.muchia  ( 462 , 510 ) = 13
323.muchia  ( 462 , 679 ) = 13
324.muchia  ( 525 , 645 ) = 13
325.muchia  ( 543 , 685 ) = 13
326.muchia  ( 560 , 668 ) = 13
327.muchia  ( 29 , 615 ) = 14
328.muchia  ( 35 , 441 ) = 14
329.muchia  ( 55 , 158 ) = 14
330.muchia  ( 64 , 143 ) = 14
331.muchia  ( 68 , 419 ) = 14
332.muchia  ( 77 , 164 ) = 14
333.muchia  ( 86 , 205 ) = 14
334.muchia  ( 116 , 370 ) = 14
335.muchia  ( 129 , 376 ) = 14
336.muchia  ( 130 , 478 ) = 14
337.muchia  ( 139 , 254 ) = 14
338.muchia  ( 160 , 682 ) = 14
339.muchia  ( 186 , 213 ) = 14
340.muchia  ( 214 , 623 ) = 14
341.muchia  ( 218 , 634 ) = 14
342.muchia  ( 260 , 446 ) = 14
343.muchia  ( 283 , 625 ) = 14
344.muchia  ( 314 , 402 ) = 14
345.muchia  ( 314 , 527 ) = 14
346.muchia  ( 318 , 566 ) = 14
347.muchia  ( 342 , 530 ) = 14
348.muchia  ( 357 , 390 ) = 14
349.muchia  ( 385 , 407 ) = 14
350.muchia  ( 390 , 456 ) = 14
351.muchia  ( 411 , 437 ) = 14
352.muchia  ( 417 , 492 ) = 14
353.muchia  ( 427 , 503 ) = 14
354.muchia  ( 488 , 583 ) = 14
355.muchia  ( 624 , 642 ) = 14
356.muchia  ( 626 , 677 ) = 14
357.muchia  ( 9 , 61 ) = 15
358.muchia  ( 23 , 86 ) = 15
359.muchia  ( 37 , 58 ) = 15
360.muchia  ( 74 , 548 ) = 15
361.muchia  ( 103 , 378 ) = 15
362.muchia  ( 134 , 185 ) = 15
363.muchia  ( 137 , 230 ) = 15
364.muchia  ( 150 , 436 ) = 15
365.muchia  ( 167 , 548 ) = 15
366.muchia  ( 171 , 200 ) = 15
367.muchia  ( 201 , 670 ) = 15
368.muchia  ( 202 , 357 ) = 15
369.muchia  ( 204 , 596 ) = 15
370.muchia  ( 245 , 688 ) = 15
371.muchia  ( 265 , 432 ) = 15
372.muchia  ( 275 , 620 ) = 15
373.muchia  ( 292 , 681 ) = 15
374.muchia  ( 387 , 470 ) = 15
375.muchia  ( 392 , 675 ) = 15
376.muchia  ( 400 , 452 ) = 15
377.muchia  ( 13 , 657 ) = 16
378.muchia  ( 23 , 165 ) = 16
379.muchia  ( 27 , 466 ) = 16
380.muchia  ( 27 , 488 ) = 16
381.muchia  ( 37 , 63 ) = 16
382.muchia  ( 38 , 694 ) = 16
383.muchia  ( 64 , 275 ) = 16
384.muchia  ( 65 , 594 ) = 16
385.muchia  ( 67 , 280 ) = 16
386.muchia  ( 71 , 654 ) = 16
387.muchia  ( 74 , 150 ) = 16
388.muchia  ( 84 , 173 ) = 16
389.muchia  ( 101 , 481 ) = 16
390.muchia  ( 102 , 689 ) = 16
391.muchia  ( 138 , 523 ) = 16
392.muchia  ( 150 , 482 ) = 16
393.muchia  ( 165 , 267 ) = 16
394.muchia  ( 251 , 658 ) = 16
395.muchia  ( 270 , 459 ) = 16
396.muchia  ( 272 , 523 ) = 16
397.muchia  ( 287 , 415 ) = 16
398.muchia  ( 288 , 605 ) = 16
399.muchia  ( 339 , 506 ) = 16
400.muchia  ( 354 , 542 ) = 16
401.muchia  ( 409 , 600 ) = 16
402.muchia  ( 425 , 519 ) = 16
403.muchia  ( 484 , 604 ) = 16
404.muchia  ( 604 , 686 ) = 16
405.muchia  ( 6 , 63 ) = 17
406.muchia  ( 6 , 366 ) = 17
407.muchia  ( 6 , 376 ) = 17
408.muchia  ( 22 , 36 ) = 17
409.muchia  ( 67 , 679 ) = 17
410.muchia  ( 68 , 400 ) = 17
411.muchia  ( 81 , 389 ) = 17
412.muchia  ( 92 , 542 ) = 17
413.muchia  ( 113 , 298 ) = 17
414.muchia  ( 114 , 573 ) = 17
415.muchia  ( 198 , 604 ) = 17
416.muchia  ( 211 , 218 ) = 17
417.muchia  ( 230 , 655 ) = 17
418.muchia  ( 308 , 653 ) = 17
419.muchia  ( 318 , 546 ) = 17
420.muchia  ( 323 , 643 ) = 17
421.muchia  ( 365 , 683 ) = 17
422.muchia  ( 412 , 573 ) = 17
423.muchia  ( 7 , 285 ) = 18
424.muchia  ( 18 , 139 ) = 18
425.muchia  ( 60 , 583 ) = 18
426.muchia  ( 73 , 523 ) = 18
427.muchia  ( 200 , 323 ) = 18
428.muchia  ( 205 , 502 ) = 18
429.muchia  ( 217 , 397 ) = 18
430.muchia  ( 223 , 566 ) = 18
431.muchia  ( 274 , 671 ) = 18
432.muchia  ( 298 , 529 ) = 18
433.muchia  ( 314 , 593 ) = 18
434.muchia  ( 332 , 494 ) = 18
435.muchia  ( 455 , 636 ) = 18
436.muchia  ( 471 , 694 ) = 18
437.muchia  ( 603 , 635 ) = 18
438.muchia  ( 3 , 174 ) = 19
439.muchia  ( 33 , 422 ) = 19
440.muchia  ( 143 , 565 ) = 19
441.muchia  ( 176 , 258 ) = 19
442.muchia  ( 206 , 545 ) = 19
443.muchia  ( 236 , 671 ) = 19
444.muchia  ( 306 , 478 ) = 19
445.muchia  ( 384 , 533 ) = 19
446.muchia  ( 421 , 434 ) = 19
447.muchia  ( 463 , 549 ) = 19
448.muchia  ( 491 , 528 ) = 19
449.muchia  ( 509 , 598 ) = 19
450.muchia  ( 561 , 632 ) = 19
451.muchia  ( 636 , 688 ) = 19
452.muchia  ( 18 , 58 ) = 20
453.muchia  ( 27 , 667 ) = 20
454.muchia  ( 68 , 657 ) = 20
455.muchia  ( 104 , 192 ) = 20
456.muchia  ( 112 , 494 ) = 20
457.muchia  ( 130 , 177 ) = 20
458.muchia  ( 135 , 398 ) = 20
459.muchia  ( 177 , 495 ) = 20
460.muchia  ( 182 , 625 ) = 20
461.muchia  ( 197 , 433 ) = 20
462.muchia  ( 231 , 316 ) = 20
463.muchia  ( 235 , 327 ) = 20
464.muchia  ( 279 , 514 ) = 20
465.muchia  ( 289 , 305 ) = 20
466.muchia  ( 306 , 538 ) = 20
467.muchia  ( 350 , 575 ) = 20
468.muchia  ( 359 , 518 ) = 20
469.muchia  ( 370 , 496 ) = 20
470.muchia  ( 377 , 414 ) = 20
471.muchia  ( 408 , 616 ) = 20
472.muchia  ( 422 , 691 ) = 20
473.muchia  ( 435 , 683 ) = 20
474.muchia  ( 580 , 689 ) = 20
475.muchia  ( 10 , 231 ) = 21
476.muchia  ( 19 , 263 ) = 21
477.muchia  ( 44 , 85 ) = 21
478.muchia  ( 52 , 284 ) = 21
479.muchia  ( 57 , 626 ) = 21
480.muchia  ( 83 , 527 ) = 21
481.muchia  ( 173 , 269 ) = 21
482.muchia  ( 218 , 432 ) = 21
483.muchia  ( 240 , 383 ) = 21
484.muchia  ( 542 , 635 ) = 21
485.muchia  ( 630 , 662 ) = 21
486.muchia  ( 40 , 416 ) = 22
487.muchia  ( 77 , 175 ) = 22
488.muchia  ( 114 , 423 ) = 22
489.muchia  ( 154 , 603 ) = 22
490.muchia  ( 220 , 628 ) = 22
491.muchia  ( 231 , 508 ) = 22
492.muchia  ( 285 , 546 ) = 22
493.muchia  ( 359 , 629 ) = 22
494.muchia  ( 392 , 640 ) = 22
495.muchia  ( 452 , 590 ) = 22
496.muchia  ( 485 , 603 ) = 22
497.muchia  ( 537 , 683 ) = 22
498.muchia  ( 610 , 671 ) = 22
499.muchia  ( 52 , 651 ) = 23
500.muchia  ( 71 , 144 ) = 23
501.muchia  ( 123 , 589 ) = 23
502.muchia  ( 131 , 456 ) = 23
503.muchia  ( 154 , 342 ) = 23
504.muchia  ( 210 , 274 ) = 23
505.muchia  ( 249 , 302 ) = 23
506.muchia  ( 273 , 699 ) = 23
507.muchia  ( 317 , 439 ) = 23
508.muchia  ( 374 , 601 ) = 23
509.muchia  ( 386 , 470 ) = 23
510.muchia  ( 575 , 648 ) = 23
511.muchia  ( 618 , 646 ) = 23
512.muchia  ( 618 , 672 ) = 23
513.muchia  ( 623 , 678 ) = 23
514.muchia  ( 127 , 245 ) = 24
515.muchia  ( 151 , 656 ) = 24
516.muchia  ( 195 , 478 ) = 24
517.muchia  ( 228 , 597 ) = 24
518.muchia  ( 230 , 326 ) = 24
519.muchia  ( 266 , 661 ) = 24
520.muchia  ( 359 , 490 ) = 24
521.muchia  ( 470 , 609 ) = 24
522.muchia  ( 14 , 656 ) = 25
523.muchia  ( 72 , 514 ) = 25
524.muchia  ( 140 , 409 ) = 25
525.muchia  ( 206 , 299 ) = 25
526.muchia  ( 217 , 394 ) = 25
527.muchia  ( 234 , 535 ) = 25
528.muchia  ( 347 , 414 ) = 25
529.muchia  ( 351 , 553 ) = 25
530.muchia  ( 430 , 576 ) = 25
531.muchia  ( 446 , 602 ) = 25
532.muchia  ( 566 , 642 ) = 25
533.muchia  ( 584 , 644 ) = 25
534.muchia  ( 40 , 434 ) = 26
535.muchia  ( 59 , 84 ) = 26
536.muchia  ( 91 , 449 ) = 26
537.muchia  ( 107 , 570 ) = 26
538.muchia  ( 121 , 368 ) = 26
539.muchia  ( 128 , 365 ) = 26
540.muchia  ( 349 , 404 ) = 26
541.muchia  ( 404 , 695 ) = 26
542.muchia  ( 658 , 693 ) = 26
543.muchia  ( 145 , 516 ) = 27
544.muchia  ( 148 , 542 ) = 27
545.muchia  ( 242 , 368 ) = 27
546.muchia  ( 296 , 386 ) = 27
547.muchia  ( 527 , 666 ) = 27
548.muchia  ( 45 , 197 ) = 28
549.muchia  ( 51 , 676 ) = 28
550.muchia  ( 88 , 473 ) = 28
551.muchia  ( 100 , 543 ) = 28
552.muchia  ( 114 , 264 ) = 28
553.muchia  ( 203 , 540 ) = 28
554.muchia  ( 227 , 669 ) = 28
555.muchia  ( 239 , 358 ) = 28
556.muchia  ( 286 , 292 ) = 28
557.muchia  ( 395 , 490 ) = 28
558.muchia  ( 405 , 588 ) = 28
559.muchia  ( 465 , 691 ) = 28
560.muchia  ( 487 , 696 ) = 28
561.muchia  ( 46 , 611 ) = 29
562.muchia  ( 104 , 159 ) = 29
563.muchia  ( 166 , 195 ) = 29
564.muchia  ( 174 , 371 ) = 29
565.muchia  ( 185 , 212 ) = 29
566.muchia  ( 313 , 538 ) = 29
567.muchia  ( 342 , 555 ) = 29
568.muchia  ( 383 , 528 ) = 29
569.muchia  ( 420 , 513 ) = 29
570.muchia  ( 433 , 666 ) = 29
571.muchia  ( 1 , 372 ) = 30
572.muchia  ( 42 , 47 ) = 30
573.muchia  ( 42 , 138 ) = 30
574.muchia  ( 89 , 185 ) = 30
575.muchia  ( 111 , 406 ) = 30
576.muchia  ( 145 , 424 ) = 30
577.muchia  ( 217 , 622 ) = 30
578.muchia  ( 222 , 410 ) = 30
579.muchia  ( 269 , 388 ) = 30
580.muchia  ( 562 , 571 ) = 30
581.muchia  ( 69 , 557 ) = 31
582.muchia  ( 199 , 224 ) = 31
583.muchia  ( 385 , 489 ) = 31
584.muchia  ( 472 , 552 ) = 31
585.muchia  ( 544 , 679 ) = 31
586.muchia  ( 4 , 487 ) = 32
587.muchia  ( 95 , 690 ) = 32
588.muchia  ( 98 , 637 ) = 32
589.muchia  ( 187 , 566 ) = 32
590.muchia  ( 341 , 571 ) = 32
591.muchia  ( 28 , 129 ) = 33
592.muchia  ( 46 , 522 ) = 33
593.muchia  ( 155 , 314 ) = 33
594.muchia  ( 266 , 550 ) = 33
595.muchia  ( 282 , 461 ) = 33
596.muchia  ( 355 , 555 ) = 33
597.muchia  ( 550 , 649 ) = 33
598.muchia  ( 177 , 497 ) = 34
599.muchia  ( 226 , 358 ) = 34
600.muchia  ( 278 , 369 ) = 34
601.muchia  ( 311 , 522 ) = 34
602.muchia  ( 384 , 599 ) = 34
603.muchia  ( 458 , 559 ) = 34
604.muchia  ( 507 , 648 ) = 34
605.muchia  ( 20 , 241 ) = 35
606.muchia  ( 117 , 345 ) = 35
607.muchia  ( 290 , 598 ) = 35
608.muchia  ( 330 , 445 ) = 35
609.muchia  ( 536 , 678 ) = 35
610.muchia  ( 573 , 579 ) = 35
611.muchia  ( 629 , 631 ) = 35
612.muchia  ( 1 , 207 ) = 36
613.muchia  ( 80 , 432 ) = 36
614.muchia  ( 131 , 291 ) = 36
615.muchia  ( 163 , 411 ) = 36
616.muchia  ( 181 , 602 ) = 36
617.muchia  ( 241 , 415 ) = 36
618.muchia  ( 296 , 633 ) = 36
619.muchia  ( 383 , 492 ) = 36
620.muchia  ( 37 , 417 ) = 37
621.muchia  ( 53 , 500 ) = 37
622.muchia  ( 87 , 651 ) = 37
623.muchia  ( 108 , 613 ) = 37
624.muchia  ( 175 , 428 ) = 37
625.muchia  ( 190 , 243 ) = 37
626.muchia  ( 312 , 564 ) = 37
627.muchia  ( 439 , 619 ) = 37
628.muchia  ( 3 , 183 ) = 38
629.muchia  ( 25 , 331 ) = 38
630.muchia  ( 118 , 608 ) = 38
631.muchia  ( 182 , 322 ) = 38
632.muchia  ( 193 , 505 ) = 38
633.muchia  ( 219 , 694 ) = 38
634.muchia  ( 312 , 649 ) = 38
635.muchia  ( 345 , 423 ) = 38
636.muchia  ( 42 , 157 ) = 39
637.muchia  ( 67 , 567 ) = 39
638.muchia  ( 229 , 472 ) = 39
639.muchia  ( 232 , 234 ) = 39
640.muchia  ( 289 , 404 ) = 39
641.muchia  ( 308 , 628 ) = 39
642.muchia  ( 329 , 346 ) = 39
643.muchia  ( 141 , 627 ) = 40
644.muchia  ( 327 , 692 ) = 40
645.muchia  ( 430 , 526 ) = 40
646.muchia  ( 8 , 617 ) = 41
647.muchia  ( 152 , 421 ) = 41
648.muchia  ( 498 , 563 ) = 41
649.muchia  ( 2 , 21 ) = 42
650.muchia  ( 53 , 281 ) = 42
651.muchia  ( 82 , 684 ) = 42
652.muchia  ( 147 , 178 ) = 42
653.muchia  ( 364 , 553 ) = 42
654.muchia  ( 474 , 566 ) = 42
655.muchia  ( 551 , 610 ) = 42
656.muchia  ( 93 , 295 ) = 43
657.muchia  ( 294 , 367 ) = 43
658.muchia  ( 303 , 660 ) = 43
659.muchia  ( 393 , 460 ) = 43
660.muchia  ( 208 , 256 ) = 44
661.muchia  ( 319 , 403 ) = 44
662.muchia  ( 556 , 623 ) = 44
663.muchia  ( 143 , 460 ) = 45
