Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia  ( 0 , 226 ) = 1
219.muchia  ( 87 , 527 ) = 13
220.muchia  ( 123 , 540 ) = 13
221.muchia  ( 163 , 577 ) = 13
222.muchia  ( 254 , 465 ) = 13
223.muchia  ( 256 , 327 ) = 13
224.muchia  ( 282 , 494 ) = 13
225.muchia  ( 327 , 340 ) = 13
226.muchia  ( 355 , 388 ) = 13
227.muchia  ( 407 , 591 ) = 13
228.muchia  ( 473 , 578 ) = 13
229.muchia  ( 21 , 526 ) = 14
230.muchia  ( 26 , 556 ) = 14
231.muchia  ( 78 , 255 ) = 14
232.muchia  ( 99 , 235 ) = 14
233.muchia  ( 134 , 331 ) = 14
234.muchia  ( 152 , 375 ) = 14
235.muchia  ( 182 , 494 ) = 14
236.muchia  ( 205 , 244 ) = 14
237.muchia  ( 214 , 546 ) = 14
238.muchia  ( 219 , 260 ) = 14
239.muchia  ( 270 , 592 ) = 14
240.muchia  ( 274 , 534 ) = 14
241.muchia  ( 295 , 343 ) = 14
242.muchia  ( 303 , 305 ) = 14
243.muchia  ( 408 , 565 ) = 14
244.muchia  ( 518 , 567 ) = 14
245.muchia  ( 25 , 93 ) = 15
246.muchia  ( 56 , 173 ) = 15
247.muchia  ( 71 , 470 ) = 15
248.muchia  ( 95 , 220 ) = 15
249.muchia  ( 133 , 454 ) = 15
250.muchia  ( 190 , 481 ) = 15
251.muchia  ( 191 , 496 ) = 15
252.muchia  ( 239 , 595 ) = 15
253.muchia  ( 252 , 285 ) = 15
254.muchia  ( 363 , 447 ) = 15
255.muchia  ( 421 , 564 ) = 15
256.muchia  ( 528 , 576 ) = 15
257.muchia  ( 52 , 552 ) = 16
258.muchia  ( 69 , 531 ) = 16
259.muchia  ( 75 , 491 ) = 16
260.muchia  ( 96 , 297 ) = 16
261.muchia  ( 111 , 484 ) = 16
262.muchia  ( 145 , 286 ) = 16
263.muchia  ( 146 , 335 ) = 16
264.muchia  ( 162 , 326 ) = 16
265.muchia  ( 195 , 478 ) = 16
266.muchia  ( 256 , 464 ) = 16
267.muchia  ( 269 , 491 ) = 16
268.muchia  ( 282 , 439 ) = 16
269.muchia  ( 304 , 376 ) = 16
270.muchia  ( 306 , 428 ) = 16
271.muchia  ( 420 , 470 ) = 16
272.muchia  ( 495 , 521 ) = 16
273.muchia  ( 9 , 421 ) = 17
274.muchia  ( 28 , 315 ) = 17
275.muchia  ( 46 , 378 ) = 17
276.muchia  ( 105 , 254 ) = 17
277.muchia  ( 124 , 354 ) = 17
278.muchia  ( 131 , 316 ) = 17
279.muchia  ( 141 , 461 ) = 17
280.muchia  ( 165 , 384 ) = 17
281.muchia  ( 178 , 513 ) = 17
282.muchia  ( 277 , 526 ) = 17
283.muchia  ( 345 , 424 ) = 17
284.muchia  ( 508 , 531 ) = 17
285.muchia  ( 47 , 182 ) = 18
286.muchia  ( 50 , 387 ) = 18
287.muchia  ( 106 , 261 ) = 18
288.muchia  ( 110 , 358 ) = 18
289.muchia  ( 124 , 231 ) = 18
290.muchia  ( 145 , 187 ) = 18
291.muchia  ( 145 , 232 ) = 18
292.muchia  ( 146 , 416 ) = 18
293.muchia  ( 168 , 584 ) = 18
294.muchia  ( 171 , 518 ) = 18
295.muchia  ( 180 , 570 ) = 18
296.muchia  ( 182 , 317 ) = 18
297.muchia  ( 245 , 500 ) = 18
298.muchia  ( 274 , 536 ) = 18
299.muchia  ( 405 , 591 ) = 18
300.muchia  ( 436 , 561 ) = 18
301.muchia  ( 0 , 456 ) = 19
302.muchia  ( 13 , 430 ) = 19
303.muchia  ( 45 , 164 ) = 19
304.muchia  ( 72 , 131 ) = 19
305.muchia  ( 80 , 187 ) = 19
306.muchia  ( 86 , 415 ) = 19
307.muchia  ( 95 , 569 ) = 19
308.muchia  ( 121 , 556 ) = 19
309.muchia  ( 122 , 301 ) = 19
310.muchia  ( 131 , 363 ) = 19
311.muchia  ( 143 , 338 ) = 19
312.muchia  ( 157 , 489 ) = 19
313.muchia  ( 168 , 497 ) = 19
314.muchia  ( 199 , 383 ) = 19
315.muchia  ( 286 , 397 ) = 19
316.muchia  ( 329 , 545 ) = 19
317.muchia  ( 337 , 514 ) = 19
318.muchia  ( 341 , 343 ) = 19
319.muchia  ( 352 , 355 ) = 19
320.muchia  ( 365 , 568 ) = 19
321.muchia  ( 381 , 420 ) = 19
322.muchia  ( 389 , 576 ) = 19
323.muchia  ( 416 , 441 ) = 19
324.muchia  ( 541 , 572 ) = 19
325.muchia  ( 17 , 377 ) = 20
326.muchia  ( 24 , 399 ) = 20
327.muchia  ( 41 , 317 ) = 20
328.muchia  ( 41 , 384 ) = 20
329.muchia  ( 55 , 260 ) = 20
330.muchia  ( 88 , 284 ) = 20
331.muchia  ( 92 , 510 ) = 20
332.muchia  ( 97 , 171 ) = 20
333.muchia  ( 114 , 141 ) = 20
334.muchia  ( 135 , 416 ) = 20
335.muchia  ( 143 , 558 ) = 20
336.muchia  ( 151 , 286 ) = 20
337.muchia  ( 209 , 573 ) = 20
338.muchia  ( 231 , 554 ) = 20
339.muchia  ( 240 , 374 ) = 20
340.muchia  ( 250 , 373 ) = 20
341.muchia  ( 254 , 390 ) = 20
342.muchia  ( 276 , 348 ) = 20
343.muchia  ( 292 , 447 ) = 20
344.muchia  ( 303 , 458 ) = 20
345.muchia  ( 340 , 525 ) = 20
346.muchia  ( 16 , 423 ) = 21
347.muchia  ( 23 , 520 ) = 21
348.muchia  ( 30 , 532 ) = 21
349.muchia  ( 48 , 311 ) = 21
350.muchia  ( 118 , 225 ) = 21
351.muchia  ( 122 , 335 ) = 21
352.muchia  ( 146 , 450 ) = 21
353.muchia  ( 187 , 413 ) = 21
354.muchia  ( 189 , 414 ) = 21
355.muchia  ( 190 , 347 ) = 21
356.muchia  ( 247 , 576 ) = 21
357.muchia  ( 295 , 551 ) = 21
358.muchia  ( 315 , 355 ) = 21
359.muchia  ( 404 , 575 ) = 21
360.muchia  ( 478 , 580 ) = 21
361.muchia  ( 13 , 145 ) = 22
362.muchia  ( 22 , 84 ) = 22
363.muchia  ( 24 , 377 ) = 22
364.muchia  ( 31 , 589 ) = 22
365.muchia  ( 37 , 429 ) = 22
366.muchia  ( 86 , 299 ) = 22
367.muchia  ( 140 , 253 ) = 22
368.muchia  ( 146 , 569 ) = 22
369.muchia  ( 151 , 176 ) = 22
370.muchia  ( 173 , 197 ) = 22
371.muchia  ( 198 , 248 ) = 22
372.muchia  ( 288 , 374 ) = 22
373.muchia  ( 322 , 441 ) = 22
374.muchia  ( 323 , 374 ) = 22
375.muchia  ( 327 , 567 ) = 22
376.muchia  ( 393 , 515 ) = 22
377.muchia  ( 408 , 505 ) = 22
378.muchia  ( 432 , 469 ) = 22
379.muchia  ( 493 , 509 ) = 22
380.muchia  ( 509 , 597 ) = 22
381.muchia  ( 2 , 267 ) = 23
382.muchia  ( 12 , 150 ) = 23
383.muchia  ( 12 , 587 ) = 23
384.muchia  ( 18 , 462 ) = 23
385.muchia  ( 36 , 504 ) = 23
386.muchia  ( 63 , 64 ) = 23
387.muchia  ( 75 , 345 ) = 23
388.muchia  ( 90 , 96 ) = 23
389.muchia  ( 117 , 360 ) = 23
390.muchia  ( 118 , 259 ) = 23
391.muchia  ( 184 , 325 ) = 23
392.muchia  ( 236 , 566 ) = 23
393.muchia  ( 258 , 298 ) = 23
394.muchia  ( 296 , 318 ) = 23
395.muchia  ( 307 , 541 ) = 23
396.muchia  ( 307 , 556 ) = 23
397.muchia  ( 332 , 565 ) = 23
398.muchia  ( 435 , 515 ) = 23
399.muchia  ( 438 , 470 ) = 23
400.muchia  ( 18 , 320 ) = 24
401.muchia  ( 27 , 179 ) = 24
402.muchia  ( 39 , 475 ) = 24
403.muchia  ( 54 , 463 ) = 24
404.muchia  ( 55 , 325 ) = 24
405.muchia  ( 55 , 562 ) = 24
406.muchia  ( 121 , 290 ) = 24
407.muchia  ( 194 , 556 ) = 24
408.muchia  ( 215 , 476 ) = 24
409.muchia  ( 224 , 594 ) = 24
410.muchia  ( 246 , 559 ) = 24
411.muchia  ( 269 , 489 ) = 24
412.muchia  ( 318 , 344 ) = 24
413.muchia  ( 353 , 431 ) = 24
414.muchia  ( 360 , 457 ) = 24
415.muchia  ( 465 , 570 ) = 24
416.muchia  ( 541 , 574 ) = 24
417.muchia  ( 4 , 585 ) = 25
418.muchia  ( 8 , 227 ) = 25
419.muchia  ( 55 , 135 ) = 25
420.muchia  ( 60 , 230 ) = 25
421.muchia  ( 173 , 460 ) = 25
422.muchia  ( 188 , 420 ) = 25
423.muchia  ( 191 , 475 ) = 25
424.muchia  ( 273 , 501 ) = 25
425.muchia  ( 316 , 568 ) = 25
426.muchia  ( 348 , 538 ) = 25
427.muchia  ( 472 , 519 ) = 25
428.muchia  ( 19 , 392 ) = 26
429.muchia  ( 26 , 161 ) = 26
430.muchia  ( 31 , 482 ) = 26
431.muchia  ( 48 , 109 ) = 26
432.muchia  ( 51 , 274 ) = 26
433.muchia  ( 52 , 511 ) = 26
434.muchia  ( 122 , 599 ) = 26
435.muchia  ( 144 , 188 ) = 26
436.muchia  ( 153 , 458 ) = 26
437.muchia  ( 199 , 420 ) = 26
438.muchia  ( 213 , 429 ) = 26
439.muchia  ( 236 , 321 ) = 26
440.muchia  ( 312 , 551 ) = 26
441.muchia  ( 313 , 353 ) = 26
442.muchia  ( 330 , 506 ) = 26
443.muchia  ( 359 , 533 ) = 26
444.muchia  ( 400 , 439 ) = 26
445.muchia  ( 533 , 558 ) = 26
446.muchia  ( 13 , 498 ) = 27
447.muchia  ( 43 , 410 ) = 27
448.muchia  ( 50 , 122 ) = 27
449.muchia  ( 64 , 544 ) = 27
450.muchia  ( 101 , 470 ) = 27
451.muchia  ( 120 , 140 ) = 27
452.muchia  ( 140 , 257 ) = 27
453.muchia  ( 250 , 407 ) = 27
454.muchia  ( 263 , 489 ) = 27
455.muchia  ( 364 , 570 ) = 27
456.muchia  ( 436 , 516 ) = 27
457.muchia  ( 9 , 510 ) = 28
458.muchia  ( 21 , 445 ) = 28
459.muchia  ( 70 , 100 ) = 28
460.muchia  ( 103 , 133 ) = 28
461.muchia  ( 164 , 505 ) = 28
462.muchia  ( 166 , 255 ) = 28
463.muchia  ( 261 , 460 ) = 28
464.muchia  ( 296 , 342 ) = 28
465.muchia  ( 310 , 361 ) = 28
466.muchia  ( 346 , 543 ) = 28
467.muchia  ( 33 , 119 ) = 29
468.muchia  ( 76 , 524 ) = 29
469.muchia  ( 135 , 547 ) = 29
470.muchia  ( 238 , 575 ) = 29
471.muchia  ( 478 , 583 ) = 29
472.muchia  ( 1 , 288 ) = 30
473.muchia  ( 110 , 235 ) = 30
474.muchia  ( 162 , 513 ) = 30
475.muchia  ( 165 , 386 ) = 30
476.muchia  ( 175 , 520 ) = 30
477.muchia  ( 239 , 455 ) = 30
478.muchia  ( 310 , 550 ) = 30
479.muchia  ( 338 , 580 ) = 30
480.muchia  ( 354 , 553 ) = 30
481.muchia  ( 370 , 504 ) = 30
482.muchia  ( 5 , 119 ) = 31
483.muchia  ( 7 , 214 ) = 31
484.muchia  ( 14 , 32 ) = 31
485.muchia  ( 18 , 177 ) = 31
486.muchia  ( 49 , 323 ) = 31
487.muchia  ( 57 , 190 ) = 31
488.muchia  ( 61 , 209 ) = 31
489.muchia  ( 113 , 257 ) = 31
490.muchia  ( 143 , 240 ) = 31
491.muchia  ( 208 , 512 ) = 31
492.muchia  ( 212 , 584 ) = 31
493.muchia  ( 315 , 411 ) = 31
494.muchia  ( 402 , 425 ) = 31
495.muchia  ( 437 , 540 ) = 31
496.muchia  ( 477 , 539 ) = 31
497.muchia  ( 7 , 289 ) = 32
498.muchia  ( 74 , 205 ) = 32
499.muchia  ( 155 , 543 ) = 32
500.muchia  ( 234 , 476 ) = 32
501.muchia  ( 258 , 330 ) = 32
502.muchia  ( 263 , 507 ) = 32
503.muchia  ( 284 , 543 ) = 32
504.muchia  ( 328 , 476 ) = 32
505.muchia  ( 474 , 477 ) = 32
506.muchia  ( 2 , 164 ) = 33
507.muchia  ( 59 , 440 ) = 33
508.muchia  ( 116 , 186 ) = 33
509.muchia  ( 287 , 302 ) = 33
510.muchia  ( 375 , 486 ) = 33
511.muchia  ( 443 , 548 ) = 33
512.muchia  ( 41 , 398 ) = 34
513.muchia  ( 79 , 451 ) = 34
514.muchia  ( 128 , 271 ) = 34
515.muchia  ( 172 , 556 ) = 34
516.muchia  ( 179 , 414 ) = 34
517.muchia  ( 200 , 502 ) = 34
518.muchia  ( 22 , 204 ) = 35
519.muchia  ( 63 , 193 ) = 35
520.muchia  ( 89 , 542 ) = 35
521.muchia  ( 122 , 468 ) = 35
522.muchia  ( 185 , 529 ) = 35
523.muchia  ( 213 , 224 ) = 35
524.muchia  ( 228 , 563 ) = 35
525.muchia  ( 290 , 331 ) = 35
526.muchia  ( 381 , 503 ) = 35
527.muchia  ( 412 , 526 ) = 35
528.muchia  ( 483 , 585 ) = 35
529.muchia  ( 20 , 88 ) = 36
530.muchia  ( 479 , 491 ) = 36
531.muchia  ( 2 , 372 ) = 37
532.muchia  ( 10 , 73 ) = 37
533.muchia  ( 176 , 480 ) = 37
534.muchia  ( 215 , 218 ) = 37
535.muchia  ( 279 , 341 ) = 37
536.muchia  ( 333 , 371 ) = 37
537.muchia  ( 54 , 450 ) = 38
538.muchia  ( 136 , 292 ) = 38
539.muchia  ( 138 , 141 ) = 38
540.muchia  ( 207 , 231 ) = 38
541.muchia  ( 258 , 265 ) = 38
542.muchia  ( 491 , 524 ) = 38
543.muchia  ( 14 , 584 ) = 39
544.muchia  ( 78 , 407 ) = 39
545.muchia  ( 91 , 154 ) = 39
546.muchia  ( 206 , 459 ) = 39
547.muchia  ( 324 , 378 ) = 39
548.muchia  ( 89 , 138 ) = 40
549.muchia  ( 226 , 501 ) = 40
550.muchia  ( 402 , 535 ) = 40
551.muchia  ( 538 , 563 ) = 40
552.muchia  ( 66 , 442 ) = 41
553.muchia  ( 139 , 595 ) = 41
554.muchia  ( 183 , 490 ) = 41
555.muchia  ( 452 , 587 ) = 41
556.muchia  ( 98 , 148 ) = 42
557.muchia  ( 159 , 170 ) = 42
558.muchia  ( 77 , 541 ) = 43
559.muchia  ( 129 , 418 ) = 43
560.muchia  ( 406 , 574 ) = 43
561.muchia  ( 11 , 307 ) = 44
562.muchia  ( 15 , 38 ) = 44
563.muchia  ( 149 , 165 ) = 44
564.muchia  ( 201 , 234 ) = 44
565.muchia  ( 408 , 590 ) = 44
566.muchia  ( 382 , 472 ) = 45
567.muchia  ( 173 , 366 ) = 46
568.muchia  ( 293 , 432 ) = 46
569.muchia  ( 466 , 478 ) = 46
570.muchia  ( 219 , 266 ) = 47
571.muchia  ( 300 , 396 ) = 47
572.muchia  ( 118 , 268 ) = 49
573.muchia  ( 242 , 480 ) = 50
574.muchia  ( 117 , 304 ) = 51
575.muchia  ( 56 , 434 ) = 52
576.muchia  ( 88 , 586 ) = 53
577.muchia  ( 371 , 553 ) = 54
578.muchia  ( 126 , 526 ) = 55
579.muchia  ( 7 , 537 ) = 56
580.muchia  ( 35 , 334 ) = 56
581.muchia  ( 329 , 379 ) = 56
582.muchia  ( 61 , 202 ) = 58
583.muchia  ( 104 , 518 ) = 58
584.muchia  ( 376 , 403 ) = 58
585.muchia  ( 36 , 487 ) = 66
586.muchia  ( 349 , 537 ) = 66
587.muchia  ( 160 , 429 ) = 72
588.muchia  ( 287 , 400 ) = 73
589.muchia  ( 467 , 592 ) = 73
590.muchia  ( 36 , 319 ) = 74
591.muchia  ( 154 , 454 ) = 74
592.muchia  ( 401 , 466 ) = 76
593.muchia  ( 233 , 398 ) = 81
594.muchia  ( 425 , 453 ) = 82
595.muchia  ( 108 , 136 ) = 89
596.muchia  ( 368 , 526 ) = 92
597.muchia  ( 156 , 499 ) = 102
598.muchia  ( 112 , 581 ) = 113
599.muchia  ( 34 , 361 ) = 135
Prin urmare costul arborelui minim de acoperire gasit este: 12225
Timpul de executie: 312.83489298820496
