Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia  ( 64 , 130 ) = 2
81.muchia  ( 39 , 133 ) = 45
82.muchia  ( 63 , 190 ) = 45
83.muchia  ( 77 , 85 ) = 45
84.muchia  ( 24 , 111 ) = 47
85.muchia  ( 35 , 105 ) = 47
86.muchia  ( 62 , 138 ) = 47
87.muchia  ( 90 , 100 ) = 47
88.muchia  ( 18 , 54 ) = 50
89.muchia  ( 85 , 171 ) = 50
90.muchia  ( 1 , 34 ) = 51
91.muchia  ( 22 , 76 ) = 52
92.muchia  ( 35 , 57 ) = 52
93.muchia  ( 73 , 84 ) = 52
94.muchia  ( 13 , 133 ) = 53
95.muchia  ( 26 , 50 ) = 53
96.muchia  ( 105 , 134 ) = 53
97.muchia  ( 6 , 8 ) = 54
98.muchia  ( 8 , 68 ) = 54
99.muchia  ( 67 , 141 ) = 54
100.muchia  ( 78 , 116 ) = 54
101.muchia  ( 12 , 160 ) = 55
102.muchia  ( 40 , 91 ) = 55
103.muchia  ( 81 , 144 ) = 55
104.muchia  ( 24 , 56 ) = 56
105.muchia  ( 38 , 143 ) = 56
106.muchia  ( 52 , 188 ) = 56
107.muchia  ( 53 , 71 ) = 56
108.muchia  ( 68 , 89 ) = 56
109.muchia  ( 98 , 113 ) = 56
110.muchia  ( 104 , 106 ) = 56
111.muchia  ( 10 , 178 ) = 57
112.muchia  ( 36 , 96 ) = 57
113.muchia  ( 59 , 116 ) = 57
114.muchia  ( 60 , 131 ) = 57
115.muchia  ( 88 , 183 ) = 59
116.muchia  ( 9 , 164 ) = 60
117.muchia  ( 27 , 103 ) = 60
118.muchia  ( 89 , 171 ) = 60
119.muchia  ( 79 , 149 ) = 61
120.muchia  ( 2 , 13 ) = 62
121.muchia  ( 19 , 42 ) = 62
122.muchia  ( 33 , 97 ) = 63
123.muchia  ( 93 , 198 ) = 63
124.muchia  ( 24 , 164 ) = 65
125.muchia  ( 98 , 196 ) = 65
126.muchia  ( 20 , 76 ) = 66
127.muchia  ( 78 , 152 ) = 66
128.muchia  ( 20 , 118 ) = 67
129.muchia  ( 96 , 144 ) = 67
130.muchia  ( 80 , 186 ) = 68
131.muchia  ( 182 , 183 ) = 69
132.muchia  ( 68 , 180 ) = 70
133.muchia  ( 16 , 186 ) = 71
134.muchia  ( 11 , 12 ) = 72
135.muchia  ( 6 , 92 ) = 73
136.muchia  ( 51 , 86 ) = 73
137.muchia  ( 184 , 193 ) = 73
138.muchia  ( 12 , 112 ) = 75
139.muchia  ( 55 , 163 ) = 75
140.muchia  ( 66 , 100 ) = 75
141.muchia  ( 141 , 173 ) = 75
142.muchia  ( 52 , 91 ) = 76
143.muchia  ( 95 , 129 ) = 77
144.muchia  ( 14 , 52 ) = 78
145.muchia  ( 103 , 149 ) = 78
146.muchia  ( 65 , 145 ) = 79
147.muchia  ( 165 , 182 ) = 80
148.muchia  ( 70 , 81 ) = 81
149.muchia  ( 20 , 101 ) = 82
150.muchia  ( 106 , 143 ) = 82
151.muchia  ( 99 , 184 ) = 83
152.muchia  ( 58 , 186 ) = 84
153.muchia  ( 78 , 172 ) = 85
154.muchia  ( 119 , 182 ) = 87
155.muchia  ( 83 , 180 ) = 89
156.muchia  ( 134 , 146 ) = 90
157.muchia  ( 185 , 199 ) = 90
158.muchia  ( 12 , 149 ) = 91
159.muchia  ( 48 , 60 ) = 91
160.muchia  ( 74 , 185 ) = 91
161.muchia  ( 64 , 131 ) = 92
162.muchia  ( 51 , 53 ) = 94
163.muchia  ( 0 , 52 ) = 96
164.muchia  ( 29 , 135 ) = 96
165.muchia  ( 45 , 167 ) = 96
166.muchia  ( 31 , 162 ) = 98
167.muchia  ( 55 , 169 ) = 101
168.muchia  ( 71 , 87 ) = 103
169.muchia  ( 125 , 154 ) = 103
170.muchia  ( 28 , 66 ) = 106
171.muchia  ( 71 , 181 ) = 108
172.muchia  ( 63 , 116 ) = 109
173.muchia  ( 107 , 161 ) = 114
174.muchia  ( 71 , 168 ) = 119
175.muchia  ( 107 , 192 ) = 120
176.muchia  ( 154 , 168 ) = 122
177.muchia  ( 117 , 166 ) = 125
178.muchia  ( 141 , 177 ) = 129
179.muchia  ( 124 , 138 ) = 137
180.muchia  ( 182 , 195 ) = 140
181.muchia  ( 39 , 194 ) = 141
182.muchia  ( 41 , 45 ) = 143
183.muchia  ( 3 , 93 ) = 144
184.muchia  ( 20 , 46 ) = 144
185.muchia  ( 18 , 132 ) = 146
186.muchia  ( 43 , 180 ) = 146
187.muchia  ( 8 , 44 ) = 148
188.muchia  ( 30 , 86 ) = 158
189.muchia  ( 175 , 182 ) = 161
190.muchia  ( 140 , 165 ) = 163
191.muchia  ( 74 , 179 ) = 166
192.muchia  ( 121 , 141 ) = 172
193.muchia  ( 55 , 178 ) = 176
194.muchia  ( 82 , 142 ) = 177
195.muchia  ( 147 , 177 ) = 186
196.muchia  ( 76 , 142 ) = 190
197.muchia  ( 27 , 148 ) = 193
198.muchia  ( 18 , 150 ) = 209
199.muchia  ( 109 , 153 ) = 241
Prin urmare costul arborelui minim de acoperire gasit este: 12586
Timpul de executie: 6.58237624168396
