Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia  ( 10 , 155 ) = 1
178.muchia  ( 207 , 250 ) = 16
179.muchia  ( 277 , 341 ) = 16
180.muchia  ( 279 , 335 ) = 16
181.muchia  ( 301 , 342 ) = 16
182.muchia  ( 381 , 448 ) = 16
183.muchia  ( 402 , 431 ) = 16
184.muchia  ( 416 , 420 ) = 16
185.muchia  ( 11 , 243 ) = 17
186.muchia  ( 27 , 112 ) = 17
187.muchia  ( 29 , 203 ) = 17
188.muchia  ( 73 , 229 ) = 17
189.muchia  ( 121 , 242 ) = 17
190.muchia  ( 155 , 410 ) = 17
191.muchia  ( 162 , 457 ) = 17
192.muchia  ( 198 , 462 ) = 17
193.muchia  ( 216 , 221 ) = 17
194.muchia  ( 217 , 384 ) = 17
195.muchia  ( 234 , 348 ) = 17
196.muchia  ( 296 , 387 ) = 17
197.muchia  ( 339 , 418 ) = 17
198.muchia  ( 355 , 484 ) = 17
199.muchia  ( 374 , 414 ) = 17
200.muchia  ( 33 , 349 ) = 18
201.muchia  ( 64 , 422 ) = 18
202.muchia  ( 72 , 455 ) = 18
203.muchia  ( 93 , 373 ) = 18
204.muchia  ( 104 , 423 ) = 18
205.muchia  ( 123 , 198 ) = 18
206.muchia  ( 141 , 311 ) = 18
207.muchia  ( 185 , 248 ) = 18
208.muchia  ( 217 , 288 ) = 18
209.muchia  ( 317 , 367 ) = 18
210.muchia  ( 427 , 437 ) = 18
211.muchia  ( 482 , 484 ) = 18
212.muchia  ( 46 , 430 ) = 19
213.muchia  ( 47 , 205 ) = 19
214.muchia  ( 95 , 245 ) = 19
215.muchia  ( 144 , 438 ) = 19
216.muchia  ( 151 , 460 ) = 19
217.muchia  ( 156 , 264 ) = 19
218.muchia  ( 204 , 490 ) = 19
219.muchia  ( 220 , 370 ) = 19
220.muchia  ( 243 , 433 ) = 19
221.muchia  ( 286 , 432 ) = 19
222.muchia  ( 389 , 428 ) = 19
223.muchia  ( 0 , 30 ) = 20
224.muchia  ( 31 , 37 ) = 20
225.muchia  ( 45 , 182 ) = 20
226.muchia  ( 51 , 364 ) = 20
227.muchia  ( 103 , 490 ) = 20
228.muchia  ( 115 , 245 ) = 20
229.muchia  ( 127 , 147 ) = 20
230.muchia  ( 129 , 145 ) = 20
231.muchia  ( 132 , 420 ) = 20
232.muchia  ( 180 , 356 ) = 20
233.muchia  ( 212 , 284 ) = 20
234.muchia  ( 263 , 374 ) = 20
235.muchia  ( 308 , 375 ) = 20
236.muchia  ( 357 , 390 ) = 20
237.muchia  ( 405 , 474 ) = 20
238.muchia  ( 5 , 68 ) = 21
239.muchia  ( 29 , 67 ) = 21
240.muchia  ( 30 , 357 ) = 21
241.muchia  ( 64 , 163 ) = 21
242.muchia  ( 77 , 226 ) = 21
243.muchia  ( 120 , 161 ) = 21
244.muchia  ( 154 , 390 ) = 21
245.muchia  ( 218 , 274 ) = 21
246.muchia  ( 300 , 342 ) = 21
247.muchia  ( 352 , 368 ) = 21
248.muchia  ( 365 , 378 ) = 21
249.muchia  ( 381 , 430 ) = 21
250.muchia  ( 38 , 403 ) = 22
251.muchia  ( 40 , 133 ) = 22
252.muchia  ( 53 , 288 ) = 22
253.muchia  ( 55 , 383 ) = 22
254.muchia  ( 55 , 390 ) = 22
255.muchia  ( 64 , 356 ) = 22
256.muchia  ( 108 , 244 ) = 22
257.muchia  ( 118 , 443 ) = 22
258.muchia  ( 119 , 397 ) = 22
259.muchia  ( 121 , 299 ) = 22
260.muchia  ( 123 , 139 ) = 22
261.muchia  ( 166 , 369 ) = 22
262.muchia  ( 180 , 391 ) = 22
263.muchia  ( 189 , 395 ) = 22
264.muchia  ( 273 , 429 ) = 22
265.muchia  ( 441 , 444 ) = 22
266.muchia  ( 453 , 465 ) = 22
267.muchia  ( 16 , 106 ) = 23
268.muchia  ( 44 , 119 ) = 23
269.muchia  ( 60 , 379 ) = 23
270.muchia  ( 64 , 456 ) = 23
271.muchia  ( 90 , 360 ) = 23
272.muchia  ( 95 , 193 ) = 23
273.muchia  ( 177 , 479 ) = 23
274.muchia  ( 201 , 460 ) = 23
275.muchia  ( 210 , 403 ) = 23
276.muchia  ( 235 , 488 ) = 23
277.muchia  ( 256 , 370 ) = 23
278.muchia  ( 2 , 169 ) = 24
279.muchia  ( 20 , 90 ) = 24
280.muchia  ( 51 , 371 ) = 24
281.muchia  ( 54 , 290 ) = 24
282.muchia  ( 61 , 443 ) = 24
283.muchia  ( 99 , 240 ) = 24
284.muchia  ( 110 , 426 ) = 24
285.muchia  ( 136 , 143 ) = 24
286.muchia  ( 147 , 491 ) = 24
287.muchia  ( 187 , 402 ) = 24
288.muchia  ( 187 , 484 ) = 24
289.muchia  ( 201 , 241 ) = 24
290.muchia  ( 211 , 391 ) = 24
291.muchia  ( 265 , 277 ) = 24
292.muchia  ( 2 , 229 ) = 25
293.muchia  ( 18 , 366 ) = 25
294.muchia  ( 40 , 428 ) = 25
295.muchia  ( 54 , 64 ) = 25
296.muchia  ( 113 , 320 ) = 25
297.muchia  ( 117 , 246 ) = 25
298.muchia  ( 117 , 430 ) = 25
299.muchia  ( 149 , 314 ) = 25
300.muchia  ( 195 , 218 ) = 25
301.muchia  ( 205 , 423 ) = 25
302.muchia  ( 213 , 285 ) = 25
303.muchia  ( 226 , 260 ) = 25
304.muchia  ( 237 , 403 ) = 25
305.muchia  ( 241 , 399 ) = 25
306.muchia  ( 254 , 401 ) = 25
307.muchia  ( 261 , 275 ) = 25
308.muchia  ( 267 , 306 ) = 25
309.muchia  ( 9 , 31 ) = 26
310.muchia  ( 33 , 382 ) = 26
311.muchia  ( 92 , 489 ) = 26
312.muchia  ( 139 , 445 ) = 26
313.muchia  ( 172 , 386 ) = 26
314.muchia  ( 332 , 364 ) = 26
315.muchia  ( 348 , 395 ) = 26
316.muchia  ( 480 , 494 ) = 26
317.muchia  ( 21 , 479 ) = 27
318.muchia  ( 40 , 484 ) = 27
319.muchia  ( 74 , 94 ) = 27
320.muchia  ( 143 , 328 ) = 27
321.muchia  ( 184 , 361 ) = 27
322.muchia  ( 211 , 340 ) = 27
323.muchia  ( 235 , 240 ) = 27
324.muchia  ( 237 , 287 ) = 27
325.muchia  ( 239 , 405 ) = 27
326.muchia  ( 245 , 303 ) = 27
327.muchia  ( 304 , 459 ) = 27
328.muchia  ( 366 , 479 ) = 27
329.muchia  ( 370 , 440 ) = 27
330.muchia  ( 3 , 406 ) = 28
331.muchia  ( 11 , 94 ) = 28
332.muchia  ( 37 , 290 ) = 28
333.muchia  ( 43 , 105 ) = 28
334.muchia  ( 116 , 192 ) = 28
335.muchia  ( 126 , 191 ) = 28
336.muchia  ( 134 , 319 ) = 28
337.muchia  ( 168 , 183 ) = 28
338.muchia  ( 178 , 441 ) = 28
339.muchia  ( 305 , 398 ) = 28
340.muchia  ( 330 , 411 ) = 28
341.muchia  ( 421 , 461 ) = 28
342.muchia  ( 26 , 41 ) = 29
343.muchia  ( 33 , 440 ) = 29
344.muchia  ( 44 , 110 ) = 29
345.muchia  ( 48 , 66 ) = 29
346.muchia  ( 113 , 386 ) = 29
347.muchia  ( 121 , 421 ) = 29
348.muchia  ( 157 , 332 ) = 29
349.muchia  ( 165 , 293 ) = 29
350.muchia  ( 197 , 406 ) = 29
351.muchia  ( 222 , 438 ) = 29
352.muchia  ( 283 , 324 ) = 29
353.muchia  ( 307 , 327 ) = 29
354.muchia  ( 389 , 474 ) = 29
355.muchia  ( 4 , 63 ) = 30
356.muchia  ( 80 , 458 ) = 30
357.muchia  ( 92 , 262 ) = 30
358.muchia  ( 4 , 452 ) = 31
359.muchia  ( 32 , 480 ) = 31
360.muchia  ( 40 , 346 ) = 31
361.muchia  ( 65 , 379 ) = 31
362.muchia  ( 84 , 100 ) = 31
363.muchia  ( 96 , 236 ) = 31
364.muchia  ( 130 , 414 ) = 31
365.muchia  ( 181 , 368 ) = 31
366.muchia  ( 277 , 324 ) = 31
367.muchia  ( 324 , 354 ) = 31
368.muchia  ( 383 , 398 ) = 31
369.muchia  ( 1 , 189 ) = 32
370.muchia  ( 46 , 329 ) = 32
371.muchia  ( 51 , 437 ) = 32
372.muchia  ( 57 , 136 ) = 32
373.muchia  ( 85 , 359 ) = 32
374.muchia  ( 149 , 387 ) = 32
375.muchia  ( 164 , 224 ) = 32
376.muchia  ( 177 , 254 ) = 32
377.muchia  ( 314 , 317 ) = 32
378.muchia  ( 7 , 88 ) = 33
379.muchia  ( 124 , 403 ) = 33
380.muchia  ( 0 , 8 ) = 34
381.muchia  ( 6 , 141 ) = 34
382.muchia  ( 48 , 337 ) = 34
383.muchia  ( 68 , 89 ) = 34
384.muchia  ( 91 , 333 ) = 34
385.muchia  ( 105 , 178 ) = 34
386.muchia  ( 251 , 402 ) = 34
387.muchia  ( 17 , 26 ) = 35
388.muchia  ( 43 , 498 ) = 35
389.muchia  ( 44 , 289 ) = 35
390.muchia  ( 58 , 80 ) = 35
391.muchia  ( 83 , 180 ) = 35
392.muchia  ( 116 , 448 ) = 35
393.muchia  ( 140 , 466 ) = 35
394.muchia  ( 149 , 496 ) = 35
395.muchia  ( 325 , 462 ) = 35
396.muchia  ( 1 , 76 ) = 36
397.muchia  ( 76 , 281 ) = 36
398.muchia  ( 82 , 303 ) = 36
399.muchia  ( 170 , 240 ) = 36
400.muchia  ( 173 , 286 ) = 36
401.muchia  ( 189 , 323 ) = 36
402.muchia  ( 221 , 278 ) = 36
403.muchia  ( 242 , 413 ) = 36
404.muchia  ( 302 , 499 ) = 36
405.muchia  ( 345 , 481 ) = 36
406.muchia  ( 350 , 392 ) = 36
407.muchia  ( 4 , 93 ) = 37
408.muchia  ( 12 , 115 ) = 37
409.muchia  ( 138 , 204 ) = 37
410.muchia  ( 215 , 246 ) = 37
411.muchia  ( 328 , 465 ) = 37
412.muchia  ( 7 , 102 ) = 38
413.muchia  ( 149 , 373 ) = 38
414.muchia  ( 15 , 29 ) = 39
415.muchia  ( 42 , 293 ) = 39
416.muchia  ( 65 , 231 ) = 39
417.muchia  ( 251 , 446 ) = 39
418.muchia  ( 261 , 296 ) = 39
419.muchia  ( 354 , 375 ) = 39
420.muchia  ( 104 , 436 ) = 40
421.muchia  ( 154 , 347 ) = 40
422.muchia  ( 176 , 418 ) = 40
423.muchia  ( 273 , 334 ) = 40
424.muchia  ( 42 , 411 ) = 41
425.muchia  ( 19 , 467 ) = 42
426.muchia  ( 98 , 106 ) = 42
427.muchia  ( 99 , 222 ) = 42
428.muchia  ( 164 , 360 ) = 42
429.muchia  ( 172 , 392 ) = 42
430.muchia  ( 296 , 363 ) = 42
431.muchia  ( 68 , 276 ) = 43
432.muchia  ( 87 , 280 ) = 43
433.muchia  ( 89 , 497 ) = 43
434.muchia  ( 154 , 353 ) = 43
435.muchia  ( 167 , 270 ) = 43
436.muchia  ( 59 , 157 ) = 44
437.muchia  ( 98 , 292 ) = 44
438.muchia  ( 249 , 469 ) = 44
439.muchia  ( 412 , 417 ) = 44
440.muchia  ( 208 , 349 ) = 45
441.muchia  ( 291 , 347 ) = 45
442.muchia  ( 29 , 216 ) = 46
443.muchia  ( 306 , 355 ) = 47
444.muchia  ( 356 , 404 ) = 47
445.muchia  ( 35 , 124 ) = 48
446.muchia  ( 117 , 228 ) = 48
447.muchia  ( 134 , 153 ) = 48
448.muchia  ( 380 , 436 ) = 49
449.muchia  ( 427 , 477 ) = 49
450.muchia  ( 69 , 89 ) = 50
451.muchia  ( 95 , 268 ) = 50
452.muchia  ( 214 , 271 ) = 51
453.muchia  ( 258 , 319 ) = 51
454.muchia  ( 20 , 485 ) = 52
455.muchia  ( 194 , 276 ) = 52
456.muchia  ( 57 , 492 ) = 53
457.muchia  ( 186 , 300 ) = 53
458.muchia  ( 367 , 439 ) = 53
459.muchia  ( 424 , 440 ) = 53
460.muchia  ( 107 , 418 ) = 54
461.muchia  ( 302 , 367 ) = 54
462.muchia  ( 22 , 96 ) = 55
463.muchia  ( 74 , 396 ) = 55
464.muchia  ( 159 , 391 ) = 55
465.muchia  ( 212 , 475 ) = 57
466.muchia  ( 6 , 468 ) = 58
467.muchia  ( 478 , 490 ) = 58
468.muchia  ( 72 , 196 ) = 60
469.muchia  ( 380 , 464 ) = 60
470.muchia  ( 161 , 312 ) = 61
471.muchia  ( 171 , 218 ) = 61
472.muchia  ( 315 , 400 ) = 62
473.muchia  ( 23 , 330 ) = 64
474.muchia  ( 47 , 318 ) = 64
475.muchia  ( 50 , 239 ) = 64
476.muchia  ( 226 , 377 ) = 64
477.muchia  ( 248 , 322 ) = 64
478.muchia  ( 128 , 321 ) = 65
479.muchia  ( 146 , 445 ) = 65
480.muchia  ( 230 , 358 ) = 65
481.muchia  ( 481 , 495 ) = 65
482.muchia  ( 114 , 267 ) = 67
483.muchia  ( 28 , 111 ) = 68
484.muchia  ( 2 , 313 ) = 69
485.muchia  ( 81 , 316 ) = 72
486.muchia  ( 131 , 236 ) = 74
487.muchia  ( 71 , 156 ) = 76
488.muchia  ( 10 , 125 ) = 87
489.muchia  ( 152 , 473 ) = 87
490.muchia  ( 209 , 224 ) = 87
491.muchia  ( 48 , 252 ) = 88
492.muchia  ( 127 , 483 ) = 91
493.muchia  ( 13 , 465 ) = 93
494.muchia  ( 230 , 268 ) = 98
495.muchia  ( 175 , 297 ) = 107
496.muchia  ( 206 , 255 ) = 112
497.muchia  ( 189 , 200 ) = 116
498.muchia  ( 3 , 372 ) = 117
499.muchia  ( 37 , 253 ) = 120
Prin urmare costul arborelui minim de acoperire gasit este: 12555
Timpul de executie: 133.46263337135315
