Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia  ( 95 , 277 ) = 1
258.muchia  ( 111 , 138 ) = 76
259.muchia  ( 128 , 157 ) = 76
260.muchia  ( 187 , 196 ) = 76
261.muchia  ( 41 , 298 ) = 77
262.muchia  ( 18 , 290 ) = 79
263.muchia  ( 67 , 75 ) = 80
264.muchia  ( 11 , 258 ) = 81
265.muchia  ( 24 , 149 ) = 81
266.muchia  ( 11 , 230 ) = 82
267.muchia  ( 12 , 37 ) = 82
268.muchia  ( 36 , 166 ) = 82
269.muchia  ( 56 , 283 ) = 86
270.muchia  ( 182 , 244 ) = 86
271.muchia  ( 77 , 274 ) = 87
272.muchia  ( 161 , 274 ) = 87
273.muchia  ( 21 , 256 ) = 88
274.muchia  ( 38 , 215 ) = 88
275.muchia  ( 182 , 299 ) = 88
276.muchia  ( 155 , 184 ) = 91
277.muchia  ( 125 , 126 ) = 93
278.muchia  ( 153 , 282 ) = 93
279.muchia  ( 80 , 139 ) = 98
280.muchia  ( 105 , 160 ) = 98
281.muchia  ( 187 , 289 ) = 100
282.muchia  ( 58 , 144 ) = 102
283.muchia  ( 216 , 254 ) = 102
284.muchia  ( 7 , 58 ) = 103
285.muchia  ( 21 , 167 ) = 104
286.muchia  ( 15 , 52 ) = 105
287.muchia  ( 235 , 242 ) = 105
288.muchia  ( 81 , 152 ) = 107
289.muchia  ( 23 , 193 ) = 110
290.muchia  ( 89 , 189 ) = 111
291.muchia  ( 42 , 208 ) = 112
292.muchia  ( 99 , 129 ) = 117
293.muchia  ( 114 , 129 ) = 122
294.muchia  ( 20 , 26 ) = 128
295.muchia  ( 170 , 273 ) = 133
296.muchia  ( 79 , 95 ) = 140
297.muchia  ( 68 , 233 ) = 150
298.muchia  ( 12 , 205 ) = 151
299.muchia  ( 193 , 219 ) = 196
Prin urmare costul arborelui minim de acoperire gasit este: 13003
Timpul de executie: 27.25555920600891
