Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia ( 25 , 1 ) = 7
124.muchia ( 191 , 124 ) = 23
125.muchia ( 557 , 125 ) = 19
126.muchia ( 38 , 126 ) = 22
127.muchia ( 296 , 127 ) = 13
128.muchia ( 341 , 128 ) = 17
129.muchia ( 631 , 129 ) = 28
130.muchia ( 81 , 130 ) = 26
131.muchia ( 118 , 131 ) = 32
132.muchia ( 603 , 132 ) = 8
133.muchia ( 306 , 133 ) = 4
134.muchia ( 568 , 134 ) = 12
135.muchia ( 414 , 135 ) = 17
136.muchia ( 453 , 136 ) = 10
137.muchia ( 233 , 137 ) = 21
138.muchia ( 623 , 138 ) = 1
139.muchia ( 135 , 139 ) = 14
140.muchia ( 518 , 140 ) = 16
141.muchia ( 209 , 141 ) = 15
142.muchia ( 101 , 142 ) = 17
143.muchia ( 191 , 143 ) = 25
144.muchia ( 159 , 144 ) = 21
145.muchia ( 513 , 145 ) = 12
146.muchia ( 52 , 146 ) = 26
147.muchia ( 457 , 147 ) = 24
148.muchia ( 374 , 148 ) = 25
149.muchia ( 609 , 149 ) = 9
150.muchia ( 22 , 150 ) = 22
151.muchia ( 145 , 151 ) = 41
152.muchia ( 226 , 152 ) = 2
153.muchia ( 313 , 153 ) = 6
154.muchia ( 221 , 154 ) = 32
155.muchia ( 335 , 155 ) = 2
156.muchia ( 660 , 156 ) = 19
157.muchia ( 483 , 157 ) = 6
158.muchia ( 396 , 158 ) = 10
159.muchia ( 53 , 159 ) = 12
160.muchia ( 340 , 160 ) = 34
161.muchia ( 170 , 161 ) = 10
162.muchia ( 432 , 162 ) = 14
163.muchia ( 161 , 163 ) = 7
164.muchia ( 343 , 164 ) = 62
165.muchia ( 82 , 165 ) = 5
166.muchia ( 608 , 166 ) = 10
167.muchia ( 64 , 167 ) = 55
168.muchia ( 584 , 168 ) = 23
169.muchia ( 426 , 169 ) = 8
170.muchia ( 505 , 170 ) = 10
171.muchia ( 387 , 171 ) = 2
172.muchia ( 449 , 172 ) = 19
173.muchia ( 1 , 173 ) = 5
174.muchia ( 389 , 174 ) = 8
175.muchia ( 442 , 175 ) = 12
176.muchia ( 194 , 176 ) = 3
177.muchia ( 445 , 177 ) = 37
178.muchia ( 34 , 178 ) = 11
179.muchia ( 606 , 179 ) = 13
180.muchia ( 246 , 180 ) = 5
181.muchia ( 344 , 181 ) = 7
182.muchia ( 455 , 182 ) = 12
183.muchia ( 478 , 183 ) = 16
184.muchia ( 482 , 184 ) = 25
185.muchia ( 349 , 185 ) = 36
186.muchia ( 212 , 186 ) = 7
187.muchia ( 117 , 187 ) = 10
188.muchia ( 29 , 188 ) = 7
189.muchia ( 580 , 189 ) = 20
190.muchia ( 573 , 190 ) = 27
191.muchia ( 624 , 191 ) = 17
192.muchia ( 452 , 192 ) = 31
193.muchia ( 577 , 193 ) = 4
194.muchia ( 486 , 194 ) = 24
195.muchia ( 679 , 195 ) = 8
196.muchia ( 637 , 196 ) = 20
197.muchia ( 82 , 197 ) = 4
198.muchia ( 607 , 198 ) = 9
199.muchia ( 462 , 199 ) = 23
200.muchia ( 417 , 200 ) = 8
201.muchia ( 193 , 201 ) = 34
202.muchia ( 449 , 202 ) = 2
203.muchia ( 455 , 203 ) = 21
204.muchia ( 138 , 204 ) = 28
205.muchia ( 580 , 205 ) = 30
206.muchia ( 309 , 206 ) = 31
207.muchia ( 662 , 207 ) = 13
208.muchia ( 424 , 208 ) = 7
209.muchia ( 356 , 209 ) = 5
210.muchia ( 530 , 210 ) = 15
211.muchia ( 642 , 211 ) = 42
212.muchia ( 323 , 212 ) = 6
213.muchia ( 610 , 213 ) = 13
214.muchia ( 443 , 214 ) = 8
215.muchia ( 24 , 215 ) = 23
216.muchia ( 60 , 216 ) = 17
217.muchia ( 534 , 217 ) = 31
218.muchia ( 495 , 218 ) = 34
219.muchia ( 276 , 219 ) = 43
220.muchia ( 592 , 220 ) = 14
221.muchia ( 184 , 221 ) = 15
222.muchia ( 341 , 222 ) = 14
223.muchia ( 191 , 223 ) = 7
224.muchia ( 46 , 224 ) = 7
225.muchia ( 156 , 225 ) = 5
226.muchia ( 56 , 226 ) = 3
227.muchia ( 202 , 227 ) = 21
228.muchia ( 582 , 228 ) = 27
229.muchia ( 209 , 229 ) = 15
230.muchia ( 582 , 230 ) = 46
231.muchia ( 576 , 231 ) = 4
232.muchia ( 227 , 232 ) = 27
233.muchia ( 610 , 233 ) = 27
234.muchia ( 174 , 234 ) = 6
235.muchia ( 165 , 235 ) = 2
236.muchia ( 473 , 236 ) = 36
237.muchia ( 495 , 237 ) = 34
238.muchia ( 235 , 238 ) = 18
239.muchia ( 304 , 239 ) = 3
240.muchia ( 235 , 240 ) = 1
241.muchia ( 369 , 241 ) = 20
242.muchia ( 410 , 242 ) = 20
243.muchia ( 180 , 243 ) = 1
244.muchia ( 434 , 244 ) = 75
245.muchia ( 550 , 245 ) = 11
246.muchia ( 577 , 246 ) = 6
247.muchia ( 658 , 247 ) = 4
248.muchia ( 565 , 248 ) = 12
249.muchia ( 612 , 249 ) = 79
250.muchia ( 196 , 250 ) = 19
251.muchia ( 364 , 251 ) = 33
252.muchia ( 661 , 252 ) = 6
253.muchia ( 383 , 253 ) = 18
254.muchia ( 269 , 254 ) = 16
255.muchia ( 306 , 255 ) = 11
256.muchia ( 37 , 256 ) = 5
257.muchia ( 506 , 257 ) = 62
258.muchia ( 342 , 258 ) = 14
259.muchia ( 316 , 259 ) = 49
260.muchia ( 82 , 260 ) = 10
261.muchia ( 223 , 261 ) = 45
262.muchia ( 645 , 262 ) = 26
263.muchia ( 649 , 263 ) = 9
264.muchia ( 473 , 264 ) = 25
265.muchia ( 375 , 265 ) = 25
266.muchia ( 603 , 266 ) = 27
267.muchia ( 534 , 267 ) = 7
268.muchia ( 2 , 268 ) = 15
269.muchia ( 179 , 269 ) = 16
270.muchia ( 484 , 270 ) = 15
271.muchia ( 178 , 271 ) = 20
272.muchia ( 180 , 272 ) = 11
273.muchia ( 268 , 273 ) = 6
274.muchia ( 471 , 274 ) = 36
275.muchia ( 124 , 275 ) = 9
276.muchia ( 77 , 276 ) = 12
277.muchia ( 239 , 277 ) = 10
278.muchia ( 25 , 278 ) = 20
279.muchia ( 137 , 279 ) = 8
280.muchia ( 165 , 280 ) = 4
281.muchia ( 680 , 281 ) = 19
282.muchia ( 623 , 282 ) = 10
283.muchia ( 573 , 283 ) = 28
284.muchia ( 268 , 284 ) = 8
285.muchia ( 536 , 285 ) = 58
286.muchia ( 137 , 286 ) = 6
287.muchia ( 246 , 287 ) = 47
288.muchia ( 36 , 288 ) = 19
289.muchia ( 308 , 289 ) = 17
290.muchia ( 13 , 290 ) = 17
291.muchia ( 516 , 291 ) = 13
292.muchia ( 11 , 292 ) = 22
293.muchia ( 657 , 293 ) = 28
294.muchia ( 242 , 294 ) = 11
295.muchia ( 332 , 295 ) = 16
296.muchia ( 90 , 296 ) = 8
297.muchia ( 5 , 297 ) = 28
298.muchia ( 528 , 298 ) = 9
299.muchia ( 649 , 299 ) = 25
300.muchia ( 232 , 300 ) = 55
301.muchia ( 558 , 301 ) = 10
302.muchia ( 452 , 302 ) = 2
303.muchia ( 17 , 303 ) = 19
304.muchia ( 378 , 304 ) = 22
305.muchia ( 445 , 305 ) = 31
306.muchia ( 506 , 306 ) = 13
307.muchia ( 197 , 307 ) = 17
308.muchia ( 267 , 308 ) = 2
309.muchia ( 644 , 309 ) = 36
310.muchia ( 292 , 310 ) = 20
311.muchia ( 13 , 311 ) = 6
312.muchia ( 567 , 312 ) = 3
313.muchia ( 524 , 313 ) = 16
314.muchia ( 645 , 314 ) = 29
315.muchia ( 77 , 315 ) = 26
316.muchia ( 593 , 316 ) = 6
317.muchia ( 153 , 317 ) = 8
318.muchia ( 290 , 318 ) = 37
319.muchia ( 459 , 319 ) = 1
320.muchia ( 592 , 320 ) = 26
321.muchia ( 656 , 321 ) = 5
322.muchia ( 44 , 322 ) = 32
323.muchia ( 603 , 323 ) = 14
324.muchia ( 301 , 324 ) = 14
325.muchia ( 469 , 325 ) = 24
326.muchia ( 541 , 326 ) = 2
327.muchia ( 228 , 327 ) = 28
328.muchia ( 354 , 328 ) = 78
329.muchia ( 533 , 329 ) = 4
330.muchia ( 580 , 330 ) = 18
331.muchia ( 672 , 331 ) = 11
332.muchia ( 698 , 332 ) = 5
333.muchia ( 248 , 333 ) = 7
334.muchia ( 663 , 334 ) = 34
335.muchia ( 637 , 335 ) = 30
336.muchia ( 148 , 336 ) = 14
337.muchia ( 281 , 337 ) = 45
338.muchia ( 190 , 338 ) = 4
339.muchia ( 76 , 339 ) = 1
340.muchia ( 263 , 340 ) = 9
341.muchia ( 466 , 341 ) = 6
342.muchia ( 194 , 342 ) = 31
343.muchia ( 676 , 343 ) = 39
344.muchia ( 123 , 344 ) = 16
345.muchia ( 377 , 345 ) = 32
346.muchia ( 590 , 346 ) = 32
347.muchia ( 44 , 347 ) = 11
348.muchia ( 442 , 348 ) = 4
349.muchia ( 560 , 349 ) = 26
350.muchia ( 291 , 350 ) = 5
351.muchia ( 161 , 351 ) = 15
352.muchia ( 252 , 352 ) = 15
353.muchia ( 391 , 353 ) = 19
354.muchia ( 514 , 354 ) = 22
355.muchia ( 536 , 355 ) = 38
356.muchia ( 11 , 356 ) = 17
357.muchia ( 193 , 357 ) = 18
358.muchia ( 70 , 358 ) = 8
359.muchia ( 507 , 359 ) = 12
360.muchia ( 135 , 360 ) = 20
361.muchia ( 308 , 361 ) = 15
362.muchia ( 295 , 362 ) = 27
363.muchia ( 393 , 363 ) = 26
364.muchia ( 205 , 364 ) = 8
365.muchia ( 53 , 365 ) = 2
366.muchia ( 572 , 366 ) = 38
367.muchia ( 387 , 367 ) = 12
368.muchia ( 535 , 368 ) = 23
369.muchia ( 673 , 369 ) = 18
370.muchia ( 120 , 370 ) = 6
371.muchia ( 196 , 371 ) = 37
372.muchia ( 42 , 372 ) = 24
373.muchia ( 323 , 373 ) = 12
374.muchia ( 440 , 374 ) = 5
375.muchia ( 209 , 375 ) = 7
376.muchia ( 510 , 376 ) = 8
377.muchia ( 578 , 377 ) = 20
378.muchia ( 166 , 378 ) = 1
379.muchia ( 15 , 379 ) = 20
380.muchia ( 137 , 380 ) = 5
381.muchia ( 90 , 381 ) = 2
382.muchia ( 561 , 382 ) = 28
383.muchia ( 684 , 383 ) = 22
384.muchia ( 532 , 384 ) = 18
385.muchia ( 663 , 385 ) = 25
386.muchia ( 390 , 386 ) = 33
387.muchia ( 416 , 387 ) = 17
388.muchia ( 128 , 388 ) = 5
389.muchia ( 144 , 389 ) = 14
390.muchia ( 187 , 390 ) = 34
391.muchia ( 588 , 391 ) = 28
392.muchia ( 522 , 392 ) = 34
393.muchia ( 578 , 393 ) = 8
394.muchia ( 53 , 394 ) = 22
395.muchia ( 502 , 395 ) = 41
396.muchia ( 149 , 396 ) = 19
397.muchia ( 679 , 397 ) = 37
398.muchia ( 387 , 398 ) = 47
399.muchia ( 9 , 399 ) = 52
400.muchia ( 395 , 400 ) = 59
401.muchia ( 324 , 401 ) = 66
402.muchia ( 231 , 402 ) = 12
403.muchia ( 687 , 403 ) = 20
404.muchia ( 316 , 404 ) = 20
405.muchia ( 5 , 405 ) = 6
406.muchia ( 361 , 406 ) = 2
407.muchia ( 316 , 407 ) = 4
408.muchia ( 647 , 408 ) = 31
409.muchia ( 229 , 409 ) = 8
410.muchia ( 0 , 410 ) = 24
411.muchia ( 678 , 411 ) = 25
412.muchia ( 119 , 412 ) = 9
413.muchia ( 541 , 413 ) = 2
414.muchia ( 666 , 414 ) = 5
415.muchia ( 524 , 415 ) = 21
416.muchia ( 63 , 416 ) = 9
417.muchia ( 427 , 417 ) = 23
418.muchia ( 435 , 418 ) = 8
419.muchia ( 620 , 419 ) = 26
420.muchia ( 479 , 420 ) = 43
421.muchia ( 217 , 421 ) = 8
422.muchia ( 541 , 422 ) = 58
423.muchia ( 310 , 423 ) = 11
424.muchia ( 83 , 424 ) = 14
425.muchia ( 548 , 425 ) = 43
426.muchia ( 376 , 426 ) = 5
427.muchia ( 477 , 427 ) = 4
428.muchia ( 291 , 428 ) = 47
429.muchia ( 346 , 429 ) = 16
430.muchia ( 502 , 430 ) = 23
431.muchia ( 262 , 431 ) = 19
432.muchia ( 171 , 432 ) = 13
433.muchia ( 29 , 433 ) = 7
434.muchia ( 40 , 434 ) = 3
435.muchia ( 369 , 435 ) = 19
436.muchia ( 76 , 436 ) = 15
437.muchia ( 215 , 437 ) = 24
438.muchia ( 66 , 438 ) = 29
439.muchia ( 446 , 439 ) = 22
440.muchia ( 442 , 440 ) = 4
441.muchia ( 71 , 441 ) = 48
442.muchia ( 1 , 442 ) = 11
443.muchia ( 250 , 443 ) = 14
444.muchia ( 153 , 444 ) = 8
445.muchia ( 511 , 445 ) = 21
446.muchia ( 402 , 446 ) = 18
447.muchia ( 323 , 447 ) = 7
448.muchia ( 89 , 448 ) = 14
449.muchia ( 660 , 449 ) = 11
450.muchia ( 179 , 450 ) = 18
451.muchia ( 642 , 451 ) = 26
452.muchia ( 565 , 452 ) = 2
453.muchia ( 406 , 453 ) = 33
454.muchia ( 238 , 454 ) = 17
455.muchia ( 272 , 455 ) = 2
456.muchia ( 516 , 456 ) = 24
457.muchia ( 303 , 457 ) = 8
458.muchia ( 63 , 458 ) = 29
459.muchia ( 57 , 459 ) = 26
460.muchia ( 1 , 460 ) = 29
461.muchia ( 91 , 461 ) = 4
462.muchia ( 226 , 462 ) = 15
463.muchia ( 383 , 463 ) = 57
464.muchia ( 98 , 464 ) = 31
465.muchia ( 525 , 465 ) = 29
466.muchia ( 306 , 466 ) = 9
467.muchia ( 333 , 467 ) = 30
468.muchia ( 204 , 468 ) = 35
469.muchia ( 669 , 469 ) = 23
470.muchia ( 507 , 470 ) = 25
471.muchia ( 554 , 471 ) = 5
472.muchia ( 593 , 472 ) = 2
473.muchia ( 578 , 473 ) = 10
474.muchia ( 355 , 474 ) = 21
475.muchia ( 491 , 475 ) = 1
476.muchia ( 443 , 476 ) = 24
477.muchia ( 294 , 477 ) = 17
478.muchia ( 591 , 478 ) = 10
479.muchia ( 310 , 479 ) = 11
480.muchia ( 28 , 480 ) = 50
481.muchia ( 317 , 481 ) = 15
482.muchia ( 696 , 482 ) = 2
483.muchia ( 224 , 483 ) = 13
484.muchia ( 692 , 484 ) = 39
485.muchia ( 90 , 485 ) = 2
486.muchia ( 38 , 486 ) = 14
487.muchia ( 335 , 487 ) = 28
488.muchia ( 482 , 488 ) = 3
489.muchia ( 283 , 489 ) = 19
490.muchia ( 121 , 490 ) = 6
491.muchia ( 163 , 491 ) = 9
492.muchia ( 175 , 492 ) = 15
493.muchia ( 669 , 493 ) = 15
494.muchia ( 336 , 494 ) = 37
495.muchia ( 215 , 495 ) = 20
496.muchia ( 461 , 496 ) = 22
497.muchia ( 506 , 497 ) = 28
498.muchia ( 544 , 498 ) = 12
499.muchia ( 246 , 499 ) = 26
500.muchia ( 51 , 500 ) = 20
501.muchia ( 529 , 501 ) = 32
502.muchia ( 307 , 502 ) = 21
503.muchia ( 224 , 503 ) = 15
504.muchia ( 580 , 504 ) = 46
505.muchia ( 454 , 505 ) = 11
506.muchia ( 71 , 506 ) = 2
507.muchia ( 238 , 507 ) = 22
508.muchia ( 206 , 508 ) = 13
509.muchia ( 513 , 509 ) = 33
510.muchia ( 96 , 510 ) = 25
511.muchia ( 289 , 511 ) = 8
512.muchia ( 113 , 512 ) = 55
513.muchia ( 534 , 513 ) = 5
514.muchia ( 664 , 514 ) = 29
515.muchia ( 483 , 515 ) = 39
516.muchia ( 52 , 516 ) = 3
517.muchia ( 0 , 517 ) = 24
518.muchia ( 486 , 518 ) = 6
519.muchia ( 179 , 519 ) = 9
520.muchia ( 294 , 520 ) = 23
521.muchia ( 651 , 521 ) = 7
522.muchia ( 505 , 522 ) = 15
523.muchia ( 127 , 523 ) = 23
524.muchia ( 223 , 524 ) = 10
525.muchia ( 498 , 525 ) = 4
526.muchia ( 217 , 526 ) = 13
527.muchia ( 411 , 527 ) = 31
528.muchia ( 470 , 528 ) = 27
529.muchia ( 332 , 529 ) = 8
530.muchia ( 27 , 530 ) = 27
531.muchia ( 427 , 531 ) = 9
532.muchia ( 576 , 532 ) = 16
533.muchia ( 132 , 533 ) = 4
534.muchia ( 679 , 534 ) = 3
535.muchia ( 341 , 535 ) = 20
536.muchia ( 290 , 536 ) = 18
537.muchia ( 67 , 537 ) = 32
538.muchia ( 93 , 538 ) = 25
539.muchia ( 348 , 539 ) = 6
540.muchia ( 37 , 540 ) = 3
541.muchia ( 563 , 541 ) = 17
542.muchia ( 196 , 542 ) = 36
543.muchia ( 551 , 543 ) = 3
544.muchia ( 654 , 544 ) = 2
545.muchia ( 489 , 545 ) = 15
546.muchia ( 326 , 546 ) = 28
547.muchia ( 331 , 547 ) = 3
548.muchia ( 467 , 548 ) = 25
549.muchia ( 610 , 549 ) = 30
550.muchia ( 62 , 550 ) = 18
551.muchia ( 29 , 551 ) = 4
552.muchia ( 517 , 552 ) = 4
553.muchia ( 383 , 553 ) = 14
554.muchia ( 565 , 554 ) = 14
555.muchia ( 350 , 555 ) = 36
556.muchia ( 166 , 556 ) = 30
557.muchia ( 361 , 557 ) = 14
558.muchia ( 490 , 558 ) = 4
559.muchia ( 266 , 559 ) = 25
560.muchia ( 49 , 560 ) = 8
561.muchia ( 92 , 561 ) = 1
562.muchia ( 104 , 562 ) = 33
563.muchia ( 407 , 563 ) = 2
564.muchia ( 350 , 564 ) = 6
565.muchia ( 9 , 565 ) = 21
566.muchia ( 41 , 566 ) = 16
567.muchia ( 63 , 567 ) = 23
568.muchia ( 368 , 568 ) = 29
569.muchia ( 218 , 569 ) = 24
570.muchia ( 615 , 570 ) = 22
571.muchia ( 45 , 571 ) = 20
572.muchia ( 603 , 572 ) = 18
573.muchia ( 174 , 573 ) = 10
574.muchia ( 642 , 574 ) = 32
575.muchia ( 461 , 575 ) = 16
576.muchia ( 25 , 576 ) = 4
577.muchia ( 360 , 577 ) = 20
578.muchia ( 560 , 578 ) = 18
579.muchia ( 199 , 579 ) = 16
580.muchia ( 538 , 580 ) = 18
581.muchia ( 226 , 581 ) = 26
582.muchia ( 302 , 582 ) = 23
583.muchia ( 28 , 583 ) = 25
584.muchia ( 637 , 584 ) = 14
585.muchia ( 457 , 585 ) = 25
586.muchia ( 125 , 586 ) = 12
587.muchia ( 673 , 587 ) = 22
588.muchia ( 237 , 588 ) = 15
589.muchia ( 392 , 589 ) = 7
590.muchia ( 522 , 590 ) = 7
591.muchia ( 224 , 591 ) = 13
592.muchia ( 557 , 592 ) = 7
593.muchia ( 101 , 593 ) = 13
594.muchia ( 140 , 594 ) = 3
595.muchia ( 649 , 595 ) = 2
596.muchia ( 145 , 596 ) = 18
597.muchia ( 303 , 597 ) = 2
598.muchia ( 483 , 598 ) = 24
599.muchia ( 45 , 599 ) = 11
600.muchia ( 317 , 600 ) = 23
601.muchia ( 295 , 601 ) = 66
602.muchia ( 644 , 602 ) = 27
603.muchia ( 544 , 603 ) = 23
604.muchia ( 620 , 604 ) = 2
605.muchia ( 583 , 605 ) = 32
606.muchia ( 195 , 606 ) = 6
607.muchia ( 95 , 607 ) = 28
608.muchia ( 694 , 608 ) = 26
609.muchia ( 418 , 609 ) = 17
610.muchia ( 585 , 610 ) = 27
611.muchia ( 152 , 611 ) = 6
612.muchia ( 502 , 612 ) = 26
613.muchia ( 180 , 613 ) = 18
614.muchia ( 514 , 614 ) = 4
615.muchia ( 357 , 615 ) = 18
616.muchia ( 127 , 616 ) = 84
617.muchia ( 359 , 617 ) = 16
618.muchia ( 13 , 618 ) = 81
619.muchia ( 410 , 619 ) = 1
620.muchia ( 114 , 620 ) = 4
621.muchia ( 129 , 621 ) = 8
622.muchia ( 19 , 622 ) = 3
623.muchia ( 470 , 623 ) = 10
624.muchia ( 321 , 624 ) = 16
625.muchia ( 367 , 625 ) = 28
626.muchia ( 116 , 626 ) = 47
627.muchia ( 633 , 627 ) = 6
628.muchia ( 684 , 628 ) = 8
629.muchia ( 200 , 629 ) = 16
630.muchia ( 276 , 630 ) = 29
631.muchia ( 62 , 631 ) = 10
632.muchia ( 390 , 632 ) = 49
633.muchia ( 250 , 633 ) = 20
634.muchia ( 113 , 634 ) = 25
635.muchia ( 224 , 635 ) = 42
636.muchia ( 84 , 636 ) = 6
637.muchia ( 140 , 637 ) = 12
638.muchia ( 453 , 638 ) = 33
639.muchia ( 140 , 639 ) = 7
640.muchia ( 656 , 640 ) = 17
641.muchia ( 310 , 641 ) = 24
642.muchia ( 153 , 642 ) = 25
643.muchia ( 644 , 643 ) = 17
644.muchia ( 235 , 644 ) = 3
645.muchia ( 525 , 645 ) = 17
646.muchia ( 482 , 646 ) = 8
647.muchia ( 243 , 647 ) = 26
648.muchia ( 589 , 648 ) = 6
649.muchia ( 631 , 649 ) = 7
650.muchia ( 184 , 650 ) = 72
651.muchia ( 413 , 651 ) = 16
652.muchia ( 302 , 652 ) = 37
653.muchia ( 82 , 653 ) = 24
654.muchia ( 66 , 654 ) = 13
655.muchia ( 156 , 655 ) = 62
656.muchia ( 369 , 656 ) = 18
657.muchia ( 513 , 657 ) = 31
658.muchia ( 452 , 658 ) = 26
659.muchia ( 678 , 659 ) = 7
660.muchia ( 565 , 660 ) = 14
661.muchia ( 574 , 661 ) = 11
662.muchia ( 384 , 662 ) = 23
663.muchia ( 499 , 663 ) = 40
664.muchia ( 174 , 664 ) = 23
665.muchia ( 291 , 665 ) = 3
666.muchia ( 375 , 666 ) = 10
667.muchia ( 68 , 667 ) = 6
668.muchia ( 380 , 668 ) = 63
669.muchia ( 12 , 669 ) = 17
670.muchia ( 15 , 670 ) = 35
671.muchia ( 442 , 671 ) = 23
672.muchia ( 234 , 672 ) = 32
673.muchia ( 393 , 673 ) = 1
674.muchia ( 27 , 674 ) = 17
675.muchia ( 75 , 675 ) = 29
676.muchia ( 139 , 676 ) = 3
677.muchia ( 51 , 677 ) = 2
678.muchia ( 284 , 678 ) = 9
679.muchia ( 348 , 679 ) = 6
680.muchia ( 262 , 680 ) = 22
681.muchia ( 264 , 681 ) = 9
682.muchia ( 301 , 682 ) = 18
683.muchia ( 694 , 683 ) = 38
684.muchia ( 615 , 684 ) = 7
685.muchia ( 364 , 685 ) = 18
686.muchia ( 3 , 686 ) = 47
687.muchia ( 315 , 687 ) = 2
688.muchia ( 381 , 688 ) = 12
689.muchia ( 551 , 689 ) = 10
690.muchia ( 540 , 690 ) = 34
691.muchia ( 502 , 691 ) = 64
692.muchia ( 580 , 692 ) = 21
693.muchia ( 647 , 693 ) = 20
694.muchia ( 260 , 694 ) = 17
695.muchia ( 173 , 695 ) = 3
696.muchia ( 340 , 696 ) = 5
