Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia ( 148 , 1 ) = 26
189.muchia ( 136 , 189 ) = 11
190.muchia ( 314 , 190 ) = 8
191.muchia ( 260 , 191 ) = 31
192.muchia ( 95 , 192 ) = 11
193.muchia ( 190 , 193 ) = 43
194.muchia ( 21 , 194 ) = 18
195.muchia ( 259 , 195 ) = 5
196.muchia ( 421 , 196 ) = 12
197.muchia ( 167 , 197 ) = 32
198.muchia ( 159 , 198 ) = 22
199.muchia ( 162 , 199 ) = 11
200.muchia ( 356 , 200 ) = 30
201.muchia ( 126 , 201 ) = 74
202.muchia ( 149 , 202 ) = 5
203.muchia ( 596 , 203 ) = 11
204.muchia ( 389 , 204 ) = 3
205.muchia ( 366 , 205 ) = 27
206.muchia ( 140 , 206 ) = 11
207.muchia ( 92 , 207 ) = 1
208.muchia ( 490 , 208 ) = 19
209.muchia ( 391 , 209 ) = 1
210.muchia ( 544 , 210 ) = 2
211.muchia ( 404 , 211 ) = 14
212.muchia ( 408 , 212 ) = 8
213.muchia ( 215 , 213 ) = 22
214.muchia ( 16 , 214 ) = 4
215.muchia ( 439 , 215 ) = 23
216.muchia ( 222 , 216 ) = 41
217.muchia ( 85 , 217 ) = 18
218.muchia ( 403 , 218 ) = 4
219.muchia ( 401 , 219 ) = 24
220.muchia ( 417 , 220 ) = 10
221.muchia ( 446 , 221 ) = 23
222.muchia ( 240 , 222 ) = 18
223.muchia ( 596 , 223 ) = 44
224.muchia ( 181 , 224 ) = 15
225.muchia ( 283 , 225 ) = 15
226.muchia ( 444 , 226 ) = 26
227.muchia ( 137 , 227 ) = 54
228.muchia ( 566 , 228 ) = 47
229.muchia ( 553 , 229 ) = 25
230.muchia ( 374 , 230 ) = 30
231.muchia ( 134 , 231 ) = 17
232.muchia ( 74 , 232 ) = 64
233.muchia ( 591 , 233 ) = 2
234.muchia ( 387 , 234 ) = 61
235.muchia ( 52 , 235 ) = 1
236.muchia ( 440 , 236 ) = 10
237.muchia ( 452 , 237 ) = 2
238.muchia ( 549 , 238 ) = 15
239.muchia ( 457 , 239 ) = 42
240.muchia ( 190 , 240 ) = 26
241.muchia ( 323 , 241 ) = 27
242.muchia ( 168 , 242 ) = 36
243.muchia ( 65 , 243 ) = 9
244.muchia ( 95 , 244 ) = 2
245.muchia ( 474 , 245 ) = 79
246.muchia ( 392 , 246 ) = 46
247.muchia ( 465 , 247 ) = 2
248.muchia ( 240 , 248 ) = 19
249.muchia ( 355 , 249 ) = 6
250.muchia ( 546 , 250 ) = 45
251.muchia ( 198 , 251 ) = 10
252.muchia ( 185 , 252 ) = 4
253.muchia ( 439 , 253 ) = 19
254.muchia ( 491 , 254 ) = 26
255.muchia ( 48 , 255 ) = 21
256.muchia ( 568 , 256 ) = 25
257.muchia ( 132 , 257 ) = 10
258.muchia ( 558 , 258 ) = 3
259.muchia ( 448 , 259 ) = 1
260.muchia ( 306 , 260 ) = 5
261.muchia ( 452 , 261 ) = 2
262.muchia ( 226 , 262 ) = 1
263.muchia ( 244 , 263 ) = 13
264.muchia ( 286 , 264 ) = 29
265.muchia ( 190 , 265 ) = 12
266.muchia ( 454 , 266 ) = 12
267.muchia ( 223 , 267 ) = 35
268.muchia ( 418 , 268 ) = 1
269.muchia ( 1 , 269 ) = 23
270.muchia ( 468 , 270 ) = 6
271.muchia ( 76 , 271 ) = 18
272.muchia ( 302 , 272 ) = 14
273.muchia ( 401 , 273 ) = 6
274.muchia ( 502 , 274 ) = 13
275.muchia ( 488 , 275 ) = 31
276.muchia ( 396 , 276 ) = 39
277.muchia ( 336 , 277 ) = 13
278.muchia ( 463 , 278 ) = 50
279.muchia ( 277 , 279 ) = 26
280.muchia ( 363 , 280 ) = 8
281.muchia ( 304 , 281 ) = 4
282.muchia ( 287 , 282 ) = 56
283.muchia ( 446 , 283 ) = 20
284.muchia ( 28 , 284 ) = 27
285.muchia ( 334 , 285 ) = 47
286.muchia ( 458 , 286 ) = 15
287.muchia ( 403 , 287 ) = 58
288.muchia ( 157 , 288 ) = 11
289.muchia ( 5 , 289 ) = 22
290.muchia ( 79 , 290 ) = 1
291.muchia ( 192 , 291 ) = 42
292.muchia ( 570 , 292 ) = 38
293.muchia ( 96 , 293 ) = 22
294.muchia ( 251 , 294 ) = 6
295.muchia ( 320 , 295 ) = 2
296.muchia ( 96 , 296 ) = 4
297.muchia ( 126 , 297 ) = 21
298.muchia ( 353 , 298 ) = 41
299.muchia ( 401 , 299 ) = 43
300.muchia ( 226 , 300 ) = 51
301.muchia ( 262 , 301 ) = 38
302.muchia ( 519 , 302 ) = 9
303.muchia ( 517 , 303 ) = 13
304.muchia ( 401 , 304 ) = 11
305.muchia ( 133 , 305 ) = 45
306.muchia ( 594 , 306 ) = 19
307.muchia ( 97 , 307 ) = 9
308.muchia ( 194 , 308 ) = 21
309.muchia ( 190 , 309 ) = 13
310.muchia ( 417 , 310 ) = 18
311.muchia ( 103 , 311 ) = 6
312.muchia ( 2 , 312 ) = 30
313.muchia ( 284 , 313 ) = 20
314.muchia ( 238 , 314 ) = 22
315.muchia ( 165 , 315 ) = 29
316.muchia ( 61 , 316 ) = 13
317.muchia ( 91 , 317 ) = 7
318.muchia ( 123 , 318 ) = 11
319.muchia ( 422 , 319 ) = 32
320.muchia ( 587 , 320 ) = 18
321.muchia ( 308 , 321 ) = 5
322.muchia ( 525 , 322 ) = 33
323.muchia ( 130 , 323 ) = 1
324.muchia ( 188 , 324 ) = 7
325.muchia ( 214 , 325 ) = 2
326.muchia ( 486 , 326 ) = 9
327.muchia ( 25 , 327 ) = 2
328.muchia ( 532 , 328 ) = 32
329.muchia ( 560 , 329 ) = 7
330.muchia ( 392 , 330 ) = 4
331.muchia ( 61 , 331 ) = 16
332.muchia ( 507 , 332 ) = 6
333.muchia ( 561 , 333 ) = 22
334.muchia ( 388 , 334 ) = 7
335.muchia ( 369 , 335 ) = 16
336.muchia ( 274 , 336 ) = 2
337.muchia ( 557 , 337 ) = 19
338.muchia ( 432 , 338 ) = 22
339.muchia ( 315 , 339 ) = 1
340.muchia ( 108 , 340 ) = 5
341.muchia ( 146 , 341 ) = 30
342.muchia ( 198 , 342 ) = 20
343.muchia ( 560 , 343 ) = 6
344.muchia ( 224 , 344 ) = 13
345.muchia ( 265 , 345 ) = 48
346.muchia ( 247 , 346 ) = 25
347.muchia ( 217 , 347 ) = 24
348.muchia ( 432 , 348 ) = 38
349.muchia ( 258 , 349 ) = 10
350.muchia ( 206 , 350 ) = 2
351.muchia ( 47 , 351 ) = 3
352.muchia ( 331 , 352 ) = 32
353.muchia ( 361 , 353 ) = 18
354.muchia ( 56 , 354 ) = 4
355.muchia ( 288 , 355 ) = 27
356.muchia ( 80 , 356 ) = 2
357.muchia ( 489 , 357 ) = 15
358.muchia ( 434 , 358 ) = 24
359.muchia ( 241 , 359 ) = 26
360.muchia ( 589 , 360 ) = 24
361.muchia ( 496 , 361 ) = 13
362.muchia ( 479 , 362 ) = 53
363.muchia ( 130 , 363 ) = 10
364.muchia ( 56 , 364 ) = 11
365.muchia ( 399 , 365 ) = 49
366.muchia ( 155 , 366 ) = 17
367.muchia ( 35 , 367 ) = 11
368.muchia ( 133 , 368 ) = 20
369.muchia ( 219 , 369 ) = 22
370.muchia ( 303 , 370 ) = 49
371.muchia ( 357 , 371 ) = 16
372.muchia ( 525 , 372 ) = 75
373.muchia ( 165 , 373 ) = 4
374.muchia ( 162 , 374 ) = 14
375.muchia ( 304 , 375 ) = 12
376.muchia ( 549 , 376 ) = 20
377.muchia ( 486 , 377 ) = 23
378.muchia ( 599 , 378 ) = 32
379.muchia ( 51 , 379 ) = 16
380.muchia ( 21 , 380 ) = 77
381.muchia ( 189 , 381 ) = 20
382.muchia ( 152 , 382 ) = 4
383.muchia ( 23 , 383 ) = 68
384.muchia ( 255 , 384 ) = 23
385.muchia ( 338 , 385 ) = 7
386.muchia ( 391 , 386 ) = 36
387.muchia ( 363 , 387 ) = 7
388.muchia ( 8 , 388 ) = 8
389.muchia ( 35 , 389 ) = 12
390.muchia ( 223 , 390 ) = 62
391.muchia ( 297 , 391 ) = 6
392.muchia ( 11 , 392 ) = 6
393.muchia ( 428 , 393 ) = 21
394.muchia ( 37 , 394 ) = 14
395.muchia ( 186 , 395 ) = 4
396.muchia ( 59 , 396 ) = 5
397.muchia ( 107 , 397 ) = 65
398.muchia ( 496 , 398 ) = 39
399.muchia ( 547 , 399 ) = 49
400.muchia ( 95 , 400 ) = 23
401.muchia ( 0 , 401 ) = 5
402.muchia ( 253 , 402 ) = 32
403.muchia ( 343 , 403 ) = 11
404.muchia ( 531 , 404 ) = 5
405.muchia ( 182 , 405 ) = 29
406.muchia ( 165 , 406 ) = 21
407.muchia ( 482 , 407 ) = 26
408.muchia ( 412 , 408 ) = 13
409.muchia ( 456 , 409 ) = 20
410.muchia ( 148 , 410 ) = 27
411.muchia ( 441 , 411 ) = 2
412.muchia ( 309 , 412 ) = 22
413.muchia ( 349 , 413 ) = 15
414.muchia ( 109 , 414 ) = 22
415.muchia ( 229 , 415 ) = 70
416.muchia ( 308 , 416 ) = 14
417.muchia ( 560 , 417 ) = 37
418.muchia ( 382 , 418 ) = 13
419.muchia ( 515 , 419 ) = 47
420.muchia ( 212 , 420 ) = 4
421.muchia ( 97 , 421 ) = 4
422.muchia ( 335 , 422 ) = 26
423.muchia ( 304 , 423 ) = 56
424.muchia ( 489 , 424 ) = 18
425.muchia ( 261 , 425 ) = 33
426.muchia ( 505 , 426 ) = 44
427.muchia ( 591 , 427 ) = 17
428.muchia ( 206 , 428 ) = 17
429.muchia ( 180 , 429 ) = 13
430.muchia ( 306 , 430 ) = 12
431.muchia ( 16 , 431 ) = 20
432.muchia ( 213 , 432 ) = 8
433.muchia ( 142 , 433 ) = 15
434.muchia ( 541 , 434 ) = 11
435.muchia ( 16 , 435 ) = 9
436.muchia ( 356 , 436 ) = 28
437.muchia ( 192 , 437 ) = 3
438.muchia ( 102 , 438 ) = 13
439.muchia ( 194 , 439 ) = 10
440.muchia ( 101 , 440 ) = 24
441.muchia ( 553 , 441 ) = 18
442.muchia ( 51 , 442 ) = 52
443.muchia ( 161 , 443 ) = 35
444.muchia ( 367 , 444 ) = 22
445.muchia ( 426 , 445 ) = 34
446.muchia ( 572 , 446 ) = 10
447.muchia ( 56 , 447 ) = 7
448.muchia ( 72 , 448 ) = 19
449.muchia ( 241 , 449 ) = 29
450.muchia ( 349 , 450 ) = 17
451.muchia ( 159 , 451 ) = 34
452.muchia ( 493 , 452 ) = 13
453.muchia ( 415 , 453 ) = 72
454.muchia ( 406 , 454 ) = 14
455.muchia ( 23 , 455 ) = 39
456.muchia ( 598 , 456 ) = 62
457.muchia ( 107 , 457 ) = 5
458.muchia ( 443 , 458 ) = 43
459.muchia ( 124 , 459 ) = 15
460.muchia ( 365 , 460 ) = 55
461.muchia ( 407 , 461 ) = 15
462.muchia ( 256 , 462 ) = 29
463.muchia ( 486 , 463 ) = 12
464.muchia ( 48 , 464 ) = 4
465.muchia ( 558 , 465 ) = 4
466.muchia ( 37 , 466 ) = 34
467.muchia ( 181 , 467 ) = 16
468.muchia ( 487 , 468 ) = 12
469.muchia ( 37 , 469 ) = 39
470.muchia ( 172 , 470 ) = 57
471.muchia ( 559 , 471 ) = 27
472.muchia ( 420 , 472 ) = 9
473.muchia ( 582 , 473 ) = 15
474.muchia ( 378 , 474 ) = 46
475.muchia ( 123 , 475 ) = 12
476.muchia ( 507 , 476 ) = 21
477.muchia ( 212 , 477 ) = 4
478.muchia ( 530 , 478 ) = 13
479.muchia ( 165 , 479 ) = 9
480.muchia ( 439 , 480 ) = 11
481.muchia ( 521 , 481 ) = 23
482.muchia ( 80 , 482 ) = 20
483.muchia ( 467 , 483 ) = 18
484.muchia ( 270 , 484 ) = 10
485.muchia ( 158 , 485 ) = 6
486.muchia ( 182 , 486 ) = 11
487.muchia ( 505 , 487 ) = 16
488.muchia ( 89 , 488 ) = 2
489.muchia ( 164 , 489 ) = 3
490.muchia ( 246 , 490 ) = 27
491.muchia ( 219 , 491 ) = 26
492.muchia ( 548 , 492 ) = 38
493.muchia ( 505 , 493 ) = 1
494.muchia ( 202 , 494 ) = 30
495.muchia ( 350 , 495 ) = 2
496.muchia ( 11 , 496 ) = 23
497.muchia ( 316 , 497 ) = 19
498.muchia ( 523 , 498 ) = 11
499.muchia ( 440 , 499 ) = 9
500.muchia ( 194 , 500 ) = 23
501.muchia ( 75 , 501 ) = 19
502.muchia ( 477 , 502 ) = 12
503.muchia ( 546 , 503 ) = 24
504.muchia ( 326 , 504 ) = 21
505.muchia ( 258 , 505 ) = 17
506.muchia ( 441 , 506 ) = 2
507.muchia ( 55 , 507 ) = 17
508.muchia ( 19 , 508 ) = 61
509.muchia ( 423 , 509 ) = 48
510.muchia ( 477 , 510 ) = 18
511.muchia ( 427 , 511 ) = 12
512.muchia ( 16 , 512 ) = 120
513.muchia ( 379 , 513 ) = 4
514.muchia ( 434 , 514 ) = 9
515.muchia ( 468 , 515 ) = 35
516.muchia ( 521 , 516 ) = 79
517.muchia ( 529 , 517 ) = 19
518.muchia ( 247 , 518 ) = 28
519.muchia ( 439 , 519 ) = 12
520.muchia ( 297 , 520 ) = 24
521.muchia ( 458 , 521 ) = 7
522.muchia ( 200 , 522 ) = 34
523.muchia ( 22 , 523 ) = 8
524.muchia ( 314 , 524 ) = 13
525.muchia ( 579 , 525 ) = 11
526.muchia ( 241 , 526 ) = 7
527.muchia ( 309 , 527 ) = 18
528.muchia ( 584 , 528 ) = 27
529.muchia ( 260 , 529 ) = 10
530.muchia ( 258 , 530 ) = 21
531.muchia ( 97 , 531 ) = 2
532.muchia ( 157 , 532 ) = 28
533.muchia ( 392 , 533 ) = 18
534.muchia ( 543 , 534 ) = 13
535.muchia ( 107 , 535 ) = 25
536.muchia ( 489 , 536 ) = 29
537.muchia ( 224 , 537 ) = 9
538.muchia ( 514 , 538 ) = 27
539.muchia ( 333 , 539 ) = 24
540.muchia ( 354 , 540 ) = 46
541.muchia ( 119 , 541 ) = 9
542.muchia ( 249 , 542 ) = 22
543.muchia ( 91 , 543 ) = 5
544.muchia ( 525 , 544 ) = 4
545.muchia ( 483 , 545 ) = 46
546.muchia ( 112 , 546 ) = 8
547.muchia ( 284 , 547 ) = 6
548.muchia ( 417 , 548 ) = 10
549.muchia ( 351 , 549 ) = 2
550.muchia ( 140 , 550 ) = 13
551.muchia ( 483 , 551 ) = 36
552.muchia ( 504 , 552 ) = 51
553.muchia ( 273 , 553 ) = 10
554.muchia ( 311 , 554 ) = 14
555.muchia ( 347 , 555 ) = 4
556.muchia ( 256 , 556 ) = 10
557.muchia ( 167 , 557 ) = 11
558.muchia ( 243 , 558 ) = 3
559.muchia ( 517 , 559 ) = 17
560.muchia ( 130 , 560 ) = 3
561.muchia ( 317 , 561 ) = 36
562.muchia ( 530 , 562 ) = 40
563.muchia ( 287 , 563 ) = 44
564.muchia ( 536 , 564 ) = 13
565.muchia ( 530 , 565 ) = 44
566.muchia ( 476 , 566 ) = 26
567.muchia ( 473 , 567 ) = 5
568.muchia ( 310 , 568 ) = 37
569.muchia ( 103 , 569 ) = 1
570.muchia ( 276 , 570 ) = 9
571.muchia ( 447 , 571 ) = 63
572.muchia ( 207 , 572 ) = 5
573.muchia ( 407 , 573 ) = 27
574.muchia ( 457 , 574 ) = 30
575.muchia ( 311 , 575 ) = 5
576.muchia ( 414 , 576 ) = 31
577.muchia ( 350 , 577 ) = 3
578.muchia ( 129 , 578 ) = 15
579.muchia ( 53 , 579 ) = 3
580.muchia ( 214 , 580 ) = 3
581.muchia ( 316 , 581 ) = 36
582.muchia ( 532 , 582 ) = 36
583.muchia ( 119 , 583 ) = 33
584.muchia ( 92 , 584 ) = 15
585.muchia ( 80 , 585 ) = 4
586.muchia ( 573 , 586 ) = 26
587.muchia ( 45 , 587 ) = 22
588.muchia ( 65 , 588 ) = 2
589.muchia ( 404 , 589 ) = 10
590.muchia ( 427 , 590 ) = 24
591.muchia ( 308 , 591 ) = 8
592.muchia ( 83 , 592 ) = 30
593.muchia ( 150 , 593 ) = 18
594.muchia ( 140 , 594 ) = 15
595.muchia ( 40 , 595 ) = 42
596.muchia ( 135 , 596 ) = 32
597.muchia ( 271 , 597 ) = 23
598.muchia ( 207 , 598 ) = 13
599.muchia ( 329 , 599 ) = 8
Prin urmare costul arborelui minim de acoperire gasit este: 12526
Timpul de executie: 0.3280186653137207
