Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia ( 298 , 1 ) = 56
237.muchia ( 182 , 237 ) = 65
238.muchia ( 243 , 238 ) = 31
239.muchia ( 283 , 239 ) = 18
240.muchia ( 215 , 240 ) = 32
241.muchia ( 0 , 241 ) = 36
242.muchia ( 250 , 242 ) = 81
243.muchia ( 169 , 243 ) = 51
244.muchia ( 41 , 244 ) = 66
245.muchia ( 252 , 245 ) = 48
246.muchia ( 236 , 246 ) = 26
247.muchia ( 55 , 247 ) = 45
248.muchia ( 281 , 248 ) = 5
249.muchia ( 236 , 249 ) = 37
250.muchia ( 157 , 250 ) = 48
251.muchia ( 298 , 251 ) = 16
252.muchia ( 43 , 252 ) = 45
253.muchia ( 40 , 253 ) = 31
254.muchia ( 114 , 254 ) = 3
255.muchia ( 223 , 255 ) = 49
256.muchia ( 60 , 256 ) = 51
257.muchia ( 23 , 257 ) = 60
258.muchia ( 144 , 258 ) = 39
259.muchia ( 171 , 259 ) = 76
260.muchia ( 201 , 260 ) = 24
261.muchia ( 140 , 261 ) = 22
262.muchia ( 155 , 262 ) = 13
263.muchia ( 111 , 263 ) = 30
264.muchia ( 208 , 264 ) = 33
265.muchia ( 44 , 265 ) = 62
266.muchia ( 283 , 266 ) = 19
267.muchia ( 89 , 267 ) = 47
268.muchia ( 290 , 268 ) = 19
269.muchia ( 50 , 269 ) = 20
270.muchia ( 83 , 270 ) = 64
271.muchia ( 86 , 271 ) = 3
272.muchia ( 30 , 272 ) = 33
273.muchia ( 214 , 273 ) = 64
274.muchia ( 111 , 274 ) = 61
275.muchia ( 102 , 275 ) = 67
276.muchia ( 282 , 276 ) = 83
277.muchia ( 43 , 277 ) = 45
278.muchia ( 67 , 278 ) = 68
279.muchia ( 134 , 279 ) = 26
280.muchia ( 249 , 280 ) = 130
281.muchia ( 18 , 281 ) = 8
282.muchia ( 115 , 282 ) = 12
283.muchia ( 22 , 283 ) = 5
284.muchia ( 187 , 284 ) = 32
285.muchia ( 79 , 285 ) = 5
286.muchia ( 268 , 286 ) = 107
287.muchia ( 238 , 287 ) = 5
288.muchia ( 115 , 288 ) = 138
289.muchia ( 6 , 289 ) = 52
290.muchia ( 58 , 290 ) = 7
291.muchia ( 34 , 291 ) = 69
292.muchia ( 298 , 292 ) = 6
293.muchia ( 131 , 293 ) = 26
294.muchia ( 40 , 294 ) = 18
295.muchia ( 215 , 295 ) = 17
296.muchia ( 288 , 296 ) = 98
297.muchia ( 282 , 297 ) = 19
298.muchia ( 203 , 298 ) = 21
299.muchia ( 58 , 299 ) = 76
Prin urmare costul arborelui minim de acoperire gasit este: 13396
Timpul de executie: 0.08300495147705078
