Muchiile din care este alcatuit arborele minim de acoperire sunt:
1.muchia ( 301 , 1 ) = 10
118.muchia ( 386 , 118 ) = 33
119.muchia ( 103 , 119 ) = 22
120.muchia ( 30 , 120 ) = 17
121.muchia ( 130 , 121 ) = 1
122.muchia ( 114 , 122 ) = 12
123.muchia ( 208 , 123 ) = 6
124.muchia ( 201 , 124 ) = 1
125.muchia ( 244 , 125 ) = 11
126.muchia ( 42 , 126 ) = 5
127.muchia ( 67 , 127 ) = 39
128.muchia ( 293 , 128 ) = 37
129.muchia ( 8 , 129 ) = 42
130.muchia ( 304 , 130 ) = 18
131.muchia ( 73 , 131 ) = 21
132.muchia ( 237 , 132 ) = 23
133.muchia ( 50 , 133 ) = 24
134.muchia ( 80 , 134 ) = 11
135.muchia ( 223 , 135 ) = 36
136.muchia ( 4 , 136 ) = 24
137.muchia ( 149 , 137 ) = 70
138.muchia ( 176 , 138 ) = 61
139.muchia ( 121 , 139 ) = 130
140.muchia ( 182 , 140 ) = 82
141.muchia ( 272 , 141 ) = 32
142.muchia ( 248 , 142 ) = 21
143.muchia ( 223 , 143 ) = 39
144.muchia ( 73 , 144 ) = 87
145.muchia ( 299 , 145 ) = 15
146.muchia ( 306 , 146 ) = 67
147.muchia ( 75 , 147 ) = 48
148.muchia ( 290 , 148 ) = 42
149.muchia ( 72 , 149 ) = 2
150.muchia ( 315 , 150 ) = 14
151.muchia ( 270 , 151 ) = 29
152.muchia ( 383 , 152 ) = 4
153.muchia ( 192 , 153 ) = 7
154.muchia ( 119 , 154 ) = 22
155.muchia ( 326 , 155 ) = 36
156.muchia ( 195 , 156 ) = 6
157.muchia ( 121 , 157 ) = 24
158.muchia ( 153 , 158 ) = 38
159.muchia ( 119 , 159 ) = 2
160.muchia ( 293 , 160 ) = 30
161.muchia ( 67 , 161 ) = 2
162.muchia ( 143 , 162 ) = 18
163.muchia ( 121 , 163 ) = 45
164.muchia ( 7 , 164 ) = 30
165.muchia ( 113 , 165 ) = 55
166.muchia ( 302 , 166 ) = 28
167.muchia ( 92 , 167 ) = 11
168.muchia ( 105 , 168 ) = 15
169.muchia ( 52 , 169 ) = 20
170.muchia ( 365 , 170 ) = 30
171.muchia ( 299 , 171 ) = 10
172.muchia ( 110 , 172 ) = 40
173.muchia ( 37 , 173 ) = 42
174.muchia ( 175 , 174 ) = 56
175.muchia ( 210 , 175 ) = 25
176.muchia ( 386 , 176 ) = 19
177.muchia ( 327 , 177 ) = 2
178.muchia ( 272 , 178 ) = 15
179.muchia ( 143 , 179 ) = 28
180.muchia ( 183 , 180 ) = 15
181.muchia ( 326 , 181 ) = 49
182.muchia ( 241 , 182 ) = 16
183.muchia ( 288 , 183 ) = 3
184.muchia ( 327 , 184 ) = 9
185.muchia ( 162 , 185 ) = 20
186.muchia ( 209 , 186 ) = 60
187.muchia ( 141 , 187 ) = 13
188.muchia ( 185 , 188 ) = 19
189.muchia ( 315 , 189 ) = 28
190.muchia ( 61 , 190 ) = 63
191.muchia ( 315 , 191 ) = 9
192.muchia ( 210 , 192 ) = 41
193.muchia ( 180 , 193 ) = 7
194.muchia ( 344 , 194 ) = 10
195.muchia ( 344 , 195 ) = 5
196.muchia ( 391 , 196 ) = 74
197.muchia ( 310 , 197 ) = 36
198.muchia ( 260 , 198 ) = 75
199.muchia ( 113 , 199 ) = 17
200.muchia ( 39 , 200 ) = 33
201.muchia ( 63 , 201 ) = 24
202.muchia ( 320 , 202 ) = 2
203.muchia ( 38 , 203 ) = 48
204.muchia ( 191 , 204 ) = 27
205.muchia ( 24 , 205 ) = 20
206.muchia ( 104 , 206 ) = 28
207.muchia ( 216 , 207 ) = 27
208.muchia ( 78 , 208 ) = 14
209.muchia ( 341 , 209 ) = 55
210.muchia ( 0 , 210 ) = 14
211.muchia ( 93 , 211 ) = 10
212.muchia ( 364 , 212 ) = 67
213.muchia ( 223 , 213 ) = 4
214.muchia ( 225 , 214 ) = 41
215.muchia ( 84 , 215 ) = 7
216.muchia ( 19 , 216 ) = 34
217.muchia ( 146 , 217 ) = 12
218.muchia ( 45 , 218 ) = 21
219.muchia ( 307 , 219 ) = 35
220.muchia ( 357 , 220 ) = 47
221.muchia ( 177 , 221 ) = 8
222.muchia ( 120 , 222 ) = 24
223.muchia ( 237 , 223 ) = 14
224.muchia ( 149 , 224 ) = 17
225.muchia ( 312 , 225 ) = 28
226.muchia ( 193 , 226 ) = 19
227.muchia ( 367 , 227 ) = 48
228.muchia ( 195 , 228 ) = 15
229.muchia ( 130 , 229 ) = 19
230.muchia ( 186 , 230 ) = 35
231.muchia ( 320 , 231 ) = 41
232.muchia ( 88 , 232 ) = 7
233.muchia ( 191 , 233 ) = 16
234.muchia ( 379 , 234 ) = 48
235.muchia ( 269 , 235 ) = 6
236.muchia ( 363 , 236 ) = 68
237.muchia ( 320 , 237 ) = 26
238.muchia ( 303 , 238 ) = 43
239.muchia ( 287 , 239 ) = 10
240.muchia ( 302 , 240 ) = 14
241.muchia ( 380 , 241 ) = 9
242.muchia ( 321 , 242 ) = 39
243.muchia ( 237 , 243 ) = 3
244.muchia ( 44 , 244 ) = 11
245.muchia ( 233 , 245 ) = 34
246.muchia ( 348 , 246 ) = 50
247.muchia ( 9 , 247 ) = 57
248.muchia ( 147 , 248 ) = 46
249.muchia ( 168 , 249 ) = 37
250.muchia ( 116 , 250 ) = 51
251.muchia ( 0 , 251 ) = 4
252.muchia ( 228 , 252 ) = 84
253.muchia ( 164 , 253 ) = 35
254.muchia ( 377 , 254 ) = 18
255.muchia ( 24 , 255 ) = 9
256.muchia ( 370 , 256 ) = 48
257.muchia ( 376 , 257 ) = 85
258.muchia ( 302 , 258 ) = 102
259.muchia ( 24 , 259 ) = 10
260.muchia ( 327 , 260 ) = 7
261.muchia ( 159 , 261 ) = 25
262.muchia ( 297 , 262 ) = 20
263.muchia ( 93 , 263 ) = 72
264.muchia ( 200 , 264 ) = 30
265.muchia ( 88 , 265 ) = 37
266.muchia ( 323 , 266 ) = 13
267.muchia ( 13 , 267 ) = 84
268.muchia ( 253 , 268 ) = 46
269.muchia ( 362 , 269 ) = 62
270.muchia ( 304 , 270 ) = 2
271.muchia ( 24 , 271 ) = 17
272.muchia ( 22 , 272 ) = 1
273.muchia ( 388 , 273 ) = 61
274.muchia ( 278 , 274 ) = 22
275.muchia ( 244 , 275 ) = 42
276.muchia ( 226 , 276 ) = 10
277.muchia ( 305 , 277 ) = 14
278.muchia ( 206 , 278 ) = 31
279.muchia ( 122 , 279 ) = 31
280.muchia ( 125 , 280 ) = 11
281.muchia ( 295 , 281 ) = 14
282.muchia ( 292 , 282 ) = 72
283.muchia ( 193 , 283 ) = 54
284.muchia ( 168 , 284 ) = 2
285.muchia ( 148 , 285 ) = 51
286.muchia ( 376 , 286 ) = 41
287.muchia ( 145 , 287 ) = 12
288.muchia ( 10 , 288 ) = 20
289.muchia ( 203 , 289 ) = 52
290.muchia ( 73 , 290 ) = 41
291.muchia ( 47 , 291 ) = 56
292.muchia ( 290 , 292 ) = 56
293.muchia ( 356 , 293 ) = 43
294.muchia ( 92 , 294 ) = 21
295.muchia ( 208 , 295 ) = 46
296.muchia ( 102 , 296 ) = 9
297.muchia ( 9 , 297 ) = 41
298.muchia ( 132 , 298 ) = 45
299.muchia ( 75 , 299 ) = 7
300.muchia ( 125 , 300 ) = 35
301.muchia ( 180 , 301 ) = 28
302.muchia ( 346 , 302 ) = 18
303.muchia ( 63 , 303 ) = 27
304.muchia ( 148 , 304 ) = 44
305.muchia ( 365 , 305 ) = 32
306.muchia ( 155 , 306 ) = 62
307.muchia ( 183 , 307 ) = 7
308.muchia ( 351 , 308 ) = 57
309.muchia ( 200 , 309 ) = 33
310.muchia ( 64 , 310 ) = 23
311.muchia ( 355 , 311 ) = 32
312.muchia ( 6 , 312 ) = 21
313.muchia ( 248 , 313 ) = 115
314.muchia ( 294 , 314 ) = 19
315.muchia ( 132 , 315 ) = 33
316.muchia ( 345 , 316 ) = 16
317.muchia ( 9 , 317 ) = 15
318.muchia ( 283 , 318 ) = 34
319.muchia ( 202 , 319 ) = 53
320.muchia ( 359 , 320 ) = 20
321.muchia ( 11 , 321 ) = 35
322.muchia ( 67 , 322 ) = 43
323.muchia ( 307 , 323 ) = 4
324.muchia ( 321 , 324 ) = 20
325.muchia ( 290 , 325 ) = 88
326.muchia ( 309 , 326 ) = 13
327.muchia ( 145 , 327 ) = 6
328.muchia ( 81 , 328 ) = 45
329.muchia ( 76 , 329 ) = 60
330.muchia ( 115 , 330 ) = 18
331.muchia ( 118 , 331 ) = 50
332.muchia ( 373 , 332 ) = 15
333.muchia ( 321 , 333 ) = 37
334.muchia ( 380 , 334 ) = 7
335.muchia ( 237 , 335 ) = 21
336.muchia ( 260 , 336 ) = 25
337.muchia ( 364 , 337 ) = 45
338.muchia ( 56 , 338 ) = 17
339.muchia ( 78 , 339 ) = 68
340.muchia ( 96 , 340 ) = 5
341.muchia ( 35 , 341 ) = 67
342.muchia ( 60 , 342 ) = 99
343.muchia ( 26 , 343 ) = 29
344.muchia ( 167 , 344 ) = 8
345.muchia ( 314 , 345 ) = 27
346.muchia ( 63 , 346 ) = 1
347.muchia ( 198 , 347 ) = 108
348.muchia ( 164 , 348 ) = 17
349.muchia ( 125 , 349 ) = 30
350.muchia ( 199 , 350 ) = 41
351.muchia ( 91 , 351 ) = 51
352.muchia ( 320 , 352 ) = 30
353.muchia ( 360 , 353 ) = 27
354.muchia ( 136 , 354 ) = 39
355.muchia ( 199 , 355 ) = 21
356.muchia ( 92 , 356 ) = 2
357.muchia ( 157 , 357 ) = 3
358.muchia ( 182 , 358 ) = 18
359.muchia ( 175 , 359 ) = 18
360.muchia ( 80 , 360 ) = 5
361.muchia ( 43 , 361 ) = 28
362.muchia ( 349 , 362 ) = 28
363.muchia ( 297 , 363 ) = 9
364.muchia ( 63 , 364 ) = 28
365.muchia ( 179 , 365 ) = 18
366.muchia ( 246 , 366 ) = 53
367.muchia ( 69 , 367 ) = 21
368.muchia ( 65 , 368 ) = 78
369.muchia ( 346 , 369 ) = 47
370.muchia ( 332 , 370 ) = 13
371.muchia ( 233 , 371 ) = 50
372.muchia ( 200 , 372 ) = 38
373.muchia ( 101 , 373 ) = 20
374.muchia ( 357 , 374 ) = 55
375.muchia ( 383 , 375 ) = 10
376.muchia ( 240 , 376 ) = 4
377.muchia ( 300 , 377 ) = 37
378.muchia ( 307 , 378 ) = 70
379.muchia ( 280 , 379 ) = 41
380.muchia ( 345 , 380 ) = 22
381.muchia ( 156 , 381 ) = 3
382.muchia ( 284 , 382 ) = 30
383.muchia ( 92 , 383 ) = 22
384.muchia ( 133 , 384 ) = 29
385.muchia ( 96 , 385 ) = 26
386.muchia ( 149 , 386 ) = 5
387.muchia ( 336 , 387 ) = 27
388.muchia ( 56 , 388 ) = 9
389.muchia ( 14 , 389 ) = 14
390.muchia ( 235 , 390 ) = 44
391.muchia ( 116 , 391 ) = 52
392.muchia ( 32 , 392 ) = 34
393.muchia ( 147 , 393 ) = 44
394.muchia ( 288 , 394 ) = 24
395.muchia ( 19 , 395 ) = 27
396.muchia ( 326 , 396 ) = 26
397.muchia ( 148 , 397 ) = 9
398.muchia ( 229 , 398 ) = 48
399.muchia ( 167 , 399 ) = 130
Prin urmare costul arborelui minim de acoperire gasit este: 12163
Timpul de executie: 0.1480085849761963
